metric,key,value
total_pools,,326852
fee_band,<1%,68225
fee_band,1-10%,54124
fee_band,40-70%,4083
fee_band,10-40%,4407
fee_band,90%+,72996
fee_band,dynamic,83040
fee_band,70-90%,39977
fee_band_fire_cohort,70-90%,1593
fee_band_fire_cohort,1-10%,117
fee_band_fire_cohort,90%+,970
fee_band_fire_cohort,<1%,14
fee_band_fire_cohort,10-40%,210
fee_band_fire_cohort,40-70%,496
pair_kind,token/base,304202
pair_kind,token/token,22445
pair_kind,base/base,205
hooks,hookless,212971
hooks,hooked,113881
ts_eq_fee_div_100_by_band,<1%,32602
ts_eq_fee_div_100_by_band,1-10%,1428
ts_eq_fee_div_100_by_band,10-40%,889
ts_eq_fee_div_100_by_band,70-90%,4321
ts_eq_fee_div_100_by_band,90%+,5291
ts_eq_fee_div_100_by_band,40-70%,1390
fee_value,10000,45969
fee_value,2500,37047
fee_value,0,22878
fee_value,870000,10948
fee_value,890000,5717
fee_value,920000,5379
fee_value,990001,4397
fee_value,900000,3252
fee_value,999910,3115
fee_value,999881,2970
fee_value,974500,2966
fee_value,800000,2759
fee_value,3000,2716
fee_value,998112,2474
fee_value,976540,2471
fee_value,850000,2197
fee_value,880000,2025
fee_value,998000,1867
fee_value,500,1854
fee_value,876540,1753
fee_value,500000,1720
fee_value,100,1716
fee_value,973690,1671
fee_value,100000,1661
fee_value,990002,1658
fee_value,843690,1646
fee_value,845670,1552
fee_value,883690,1547
fee_value,930346,1519
fee_value,999780,1395
fee_value,990000,1305
fee_value,886540,1185
fee_value,987650,1138
fee_value,999417,1112
fee_value,999999,1059
fee_value,999223,1044
fee_value,999068,1035
fee_value,999334,1031
fee_value,998446,1031
fee_value,10950,1006
fee_value,998834,974
fee_value,50000,967
fee_value,950123,840
fee_value,848812,800
fee_value,920046,701
fee_value,700000,691
fee_value,950000,689
fee_value,950050,638
fee_value,990010,600
fee_value,770000,576
fee_value,995111,556
fee_value,999993,536
fee_value,30000,528
fee_value,970123,510
fee_value,849870,460
fee_value,893210,455
fee_value,950357,452
fee_value,750000,445
fee_value,20000,426
fee_value,840000,417
fee_value,997111,399
fee_value,300000,395
fee_value,970090,369
fee_value,990020,360
fee_value,200000,357
fee_value,970060,353
fee_value,999000,348
fee_value,9000,346
fee_value,950369,340
fee_value,600000,329
fee_value,890090,326
fee_value,893690,315
fee_value,980000,314
fee_value,250000,313
fee_value,999781,300
fee_value,969690,289
fee_value,860050,288
fee_value,40000,286
fee_value,990003,285
fee_value,150000,279
fee_value,919989,265
fee_value,930000,263
fee_value,970369,259
fee_value,920010,257
fee_value,970030,244
fee_value,950060,243
fee_value,350000,239
fee_value,919400,232
fee_value,873690,227
fee_value,910000,223
fee_value,970020,211
fee_value,989999,208
fee_value,300,203
fee_value,970000,201
fee_value,970010,201
fee_value,510000,196
fee_value,25000,193
fee_value,80000,191
fee_value,990005,189
fee_value,60000,182
fee_value,970690,182
fee_value,970070,180
fee_value,896540,178
fee_value,5000,177
fee_value,860000,170
fee_value,990004,165
fee_value,550000,164
fee_value,900010,161
fee_value,660000,160
fee_value,320000,157
fee_value,970790,155
fee_value,330000,154
fee_value,70000,152
fee_value,400000,150
fee_value,970080,150
fee_value,777770,142
fee_value,870640,142
fee_value,950321,141
fee_value,951369,130
fee_value,989998,128
fee_value,970210,128
fee_value,1000,127
fee_value,490000,127
fee_value,998990,125
fee_value,950650,123
fee_value,980120,122
fee_value,900230,122
fee_value,75,120
fee_value,820000,119
fee_value,919870,118
fee_value,790000,117
fee_value,999911,117
fee_value,90000,113
fee_value,919860,109
fee_value,950246,106
fee_value,650000,105
fee_value,996111,104
fee_value,876000,103
fee_value,899900,102
fee_value,998485,102
fee_value,980220,101
fee_value,450000,100
fee_value,440000,99
fee_value,930450,99
fee_value,965000,97
fee_value,970890,95
fee_value,922777,94
fee_value,983690,93
fee_value,997980,90
fee_value,999900,88
fee_value,991000,88
fee_value,888880,87
fee_value,998788,87
fee_value,999242,87
fee_value,998835,87
fee_value,999134,86
fee_value,900690,86
fee_value,999333,85
fee_value,990011,82
fee_value,200,82
fee_value,992424,82
fee_value,883330,80
fee_value,45000,79
fee_value,991010,79
fee_value,780000,78
fee_value,980090,77
fee_value,15000,76
fee_value,995000,75
fee_value,920770,75
fee_value,960000,74
fee_value,999418,74
fee_value,945000,74
fee_value,810000,72
fee_value,999416,72
fee_value,993939,72
fee_value,900001,71
fee_value,999222,71
fee_value,996212,68
fee_value,940000,67
fee_value,999067,67
fee_value,690000,66
fee_value,989899,65
fee_value,990102,63
fee_value,999001,63
fee_value,995671,63
fee_value,898900,62
fee_value,930270,62
fee_value,850050,62
fee_value,999335,61
fee_value,7000,60
fee_value,35000,59
fee_value,999990,59
fee_value,853690,59
fee_value,480000,53
fee_value,988900,53
fee_value,830000,53
fee_value,998833,53
fee_value,907110,52
fee_value,987000,52
fee_value,2000,51
fee_value,992000,51
fee_value,999220,51
fee_value,999224,50
fee_value,994949,50
fee_value,956540,49
fee_value,998980,49
fee_value,375,49
fee_value,470000,48
fee_value,846540,48
fee_value,870650,48
fee_value,7500,47
fee_value,999300,47
fee_value,998830,47
fee_value,888000,46
fee_value,950135,46
fee_value,950590,46
fee_value,980040,45
fee_value,990101,44
fee_value,220000,44
fee_value,999066,44
fee_value,999415,44
fee_value,999332,44
fee_value,49900,43
fee_value,870450,43
fee_value,920580,43
fee_value,250,41
fee_value,999330,41
fee_value,999617,41
fee_value,680000,40
fee_value,999490,40
fee_value,970390,40
fee_value,49000,39
fee_value,660600,39
fee_value,110000,39
fee_value,999221,39
fee_value,999070,39
fee_value,998832,39
fee_value,180000,38
fee_value,999500,38
fee_value,999065,38
fee_value,980080,38
fee_value,998999,37
fee_value,750,37
fee_value,971230,37
fee_value,960369,37
fee_value,150,36
fee_value,130000,35
fee_value,12000,35
fee_value,55000,35
fee_value,799000,35
fee_value,940090,35
fee_value,998444,35
fee_value,999069,35
fee_value,950620,35
fee_value,999040,34
fee_value,999060,34
fee_value,998447,34
fee_value,858700,33
fee_value,998890,33
fee_value,999050,33
fee_value,120000,32
fee_value,998445,32
fee_value,999414,32
fee_value,390000,31
fee_value,42000,31
fee_value,880080,31
fee_value,999940,31
fee_value,998920,31
fee_value,999210,31
fee_value,999218,31
fee_value,998450,31
fee_value,999331,31
fee_value,760000,30
fee_value,998900,30
fee_value,801100,30
fee_value,999235,30
fee_value,999411,30
fee_value,999419,30
fee_value,998836,30
fee_value,998820,30
fee_value,920368,30
fee_value,980830,30
fee_value,33000,29
fee_value,49999,29
fee_value,998870,29
fee_value,998442,29
fee_value,999010,29
fee_value,999413,29
fee_value,999064,29
fee_value,999336,29
fee_value,999320,29
fee_value,998860,29
fee_value,899999,29
fee_value,190000,28
fee_value,999002,28
fee_value,701100,28
fee_value,999388,28
fee_value,998449,28
fee_value,998831,28
fee_value,140000,27
