token,n_extreme_pools,first_extreme_block,last_extreme_block,span_blocks,min_fee,max_fee,distinct_fees,fire_cohort_pools
0x020bfc650a365f8bb26819deaabf3e21291018b4,66,820611,32336202,31515591,100000,999999,45,2
0x3ae3facc99f43d5a39254a0b9f5cc0291ecd39cc,61,21956002,31645637,9689635,150000,999999,56,7
0x82a0fd8436f68ecef62b04984e7975b926a60567,56,13469157,15218940,1749783,450000,999500,52,3
0x7dceb94321b65b88e2783360c76fbedca410b6c5,56,31998368,32330154,331786,100000,999999,50,13
0x6245e67affa44a23077f0ea7f981a8dc743a0c47,54,23600453,31981665,8381212,100990,999773,51,3
0x237c79c93c3eb8c61a2a2a7465a851b0381b8ba3,49,14407851,23783225,9375374,100000,999798,43,3
0xab634722a079a0a883106785ff1f2e026bc7b765,49,26066126,31401080,5334954,210990,999999,44,6
0x9c89070e7b840d605a0baacba70597915676cd53,49,30601993,31438087,836094,440000,999001,47,9
0x851a467a60b917d37dba8547a07cf7a07a17ffe2,48,22597401,31185354,8587953,100000,999039,44,6
0x7b630f080807df83908b4ade46ba6396ee66b098,48,31556491,32303224,746733,100000,999940,42,2
0x8ad5a580c4215086dec828d8626b95a06d7d00cc,47,22870785,32341506,9470721,160000,999068,46,10
0xceba75c4d1bcf24452040e98eb3b2107a2877f36,46,24477352,30515470,6038118,350000,999999,42,6
0x56910d4409f3a0c78c64dd8d0545ff0705389870,45,2015209,28927186,26911977,100000,999999,39,4
0x6999485f40c9162a8a2cfcb51132fc2675e59ba3,45,17042533,31181648,14139115,100000,999828,39,2
0x9ca1cc0c90d97b4f36c5e2232d4fbd705a73c65d,43,28805834,32327648,3521814,100000,988880,37,4
0x39dbed3a2bd333467115de45665cc57f813c4571,42,8968676,31980380,23011704,100000,1000000,36,2
0x2e8c31162b855a2ffa90f6f8634643ad6f111e18,42,9726445,32244043,22517598,100000,999798,41,2
0x1624f3bc511eab822fbb178fd7c72dde0fb18137,42,19598427,21054747,1456320,490000,999999,40,6
0x3746a5ebca295dee695dd1bcba50a8626df3099c,41,10536155,14639914,4103759,100000,999999,37,0
0xa3bfbccd4aeec8ac56b17fee3e02dd2c60722ccc,40,9817318,31998494,22181176,100000,999993,37,9
0xc2362aff2a2a4cc1f48cf3dab2c4e2605eb94ba3,40,16868042,29369482,12501440,100000,995000,31,3
0x00f2fa78f96456bec4da20e24a5c0ae2bc02f795,40,31563712,32157751,594039,400000,992020,39,8
0x1b0e319c6a659f002271b69db8a7df2f911c153e,39,1153290,21812642,20659352,100000,999798,31,3
0x8f210e3d30139f2e23532d804f5cfbbaaa87d2b0,39,13051986,14131722,1079736,420000,999999,37,0
0xd8ec6474c02e5f913a8fd566648a2df4b18dbba3,39,17250346,30696915,13446569,100000,999999,35,3
0x4db0f0559e4824579697c477c2a3f55860bc875a,39,32094771,32304552,209781,280000,991230,37,8
0x477c03890f9e5281dfc2a1748e15ce34031388db,38,15607709,16886411,1278702,272700,998428,35,4
0x02c2faedb05cc1ddd40738a975f57d217ad33ecc,38,28439044,32077908,3638864,110000,999900,34,3
0x49d8022cfa113dadb8cb1a5b22250524cf24b926,37,18584511,32174387,13589876,160000,999500,33,4
0x385b36ff682ab4c76e7c37a66b96aabc466471d5,37,23467721,31361060,7893339,119900,999141,37,3
0xe59b24e1627a293c1821361b442a2ecc9d2ed7c3,37,30759005,31174111,415106,200000,998900,37,8
0x8ff92566f2e81bdd68edfaa8cde73942a723796b,36,1963478,30798207,28834729,100000,999999,29,0
0x684618c70480a70637692a51a3a9398dfd7ab0f5,36,18261298,32310554,14049256,100000,999999,29,1
0x2531f3ca1b31086b7fc130ecda6d3253daf83ba3,36,24337164,30702399,6365235,100000,999999,31,2
0x7168563b0e70124f0c7c0cf2f13a8d1861baf4a5,35,12246146,27638733,15392587,100000,990000,34,8
0x99075a24baabc6580386a7c0063af009e5bc687a,35,13684619,16895532,3210913,400000,999001,33,0
0x00000000043c1117dafa3a3d0c7148eb48b30130,35,15676509,18264004,2587495,100000,997750,22,1
0x0c1ed62d7811e5b437e537ac9d0592469c119c74,35,17301293,26515876,9214583,100000,999910,31,0
0x21ed792de0ebfa85c2f55ff45b2241c576727f7b,35,30602714,32317424,1714710,100000,999999,32,1
0x00740f197ef05c7825bb1bd857f55f76ffbe3430,34,14574109,15690569,1116460,500000,999400,30,0
0x4a6eec8a30b49d289b9fc865fd374b4d61eab8fb,34,17668002,32333450,14665448,100000,999801,32,5
0x5cb6f181081301b44905f3ae15419112ecabd8a6,34,21881912,30506085,8624173,100000,999898,32,3
0xe934e36a439c94017b64a3fece66af12099abf50,33,12673199,31385183,18711984,100000,999899,27,4
0xc66dfcc8cb58b0057a30992815074c251bcb5a7e,33,13379601,15342135,1962534,200000,999999,30,0
0xb805b15174e0c4d48abf8e69c5cd01e631979a37,33,13447238,14206683,759445,333300,999999,32,1
0x34a09fda62783e72b6d7f104696d6db208302c6e,33,17907916,21266943,3359027,100000,999700,31,3
0x76d73e77e4e6ae03d46118de48a931d7f05d1e18,33,18181300,32335353,14154053,100000,999811,30,1
0xb174e8caaedc1cc038829f34681d4d7f3071f109,33,23695468,24533402,837934,450000,999999,31,2
0xc72f232a6869e6cf34dc06129affd07f8a2a246a,33,29759303,32320827,2561524,100000,981010,29,3
0xa3fdcadd1a10ef1a1731e08b87493420d7a61007,32,9588257,30567736,20979479,100000,999000,30,5
0xe8b8ed7aca56900ad4859273ab0a82b390013d81,32,13495261,20988632,7493371,500000,999881,28,9
0x9cb0726cd7e71f057e73bc0a75ec4fe03e0abc63,32,14379027,15897750,1518723,440000,999700,31,0
0x37ac966dc91c0ff69a47a0cfa6cced93c16642e9,32,20584450,21201182,616732,100000,999900,29,0
0x4f0d7ea112547af5dad59959d98b6a8ee3355bcc,32,21951092,30751327,8800235,100000,998868,29,4
0x9fa8cde138cd79a04365ceeb7aeac4aef8adf6c5,32,24633933,31508473,6874540,100000,999145,29,9
0xf48c5d25b7e0f256a9439db2d814a0d315993579,31,12612838,29130716,16517878,100000,992000,28,2
0x5ef897526d488c220de6038fefcc7f5f2492aba3,31,18142119,23814033,5671914,100000,999847,29,4
0x5aab82e235d3698a60211150de8bf6e249e4ca3a,31,31621134,32202640,581506,400000,991230,28,7
0xff0a037e3ecd3560b93e6b2163fea48b81feefd1,30,8781255,29765048,20983793,100000,970020,26,1
0x5f94e24a3293cf12c97d8b21c2f960adf471c951,30,8783740,26665853,17882113,100000,999000,24,1
0x05d79bcb148e82d5dba5005e3d9b7ab01be3bfb3,30,9404113,31447256,22043143,100000,993000,29,2
0x6bca58e2ba84ace5a1aba25b793d198450722d28,30,10880319,18297976,7417657,110000,999000,26,6
0xe88af4f3dab9668922c3e5b8ee57ba5257e99e0f,30,11850607,12335724,485117,500000,999001,30,0
0xe4e254f59f75831967e1a2bc43b1a92bf0a19dab,30,13824589,14936070,1111481,100000,999999,28,0
0x30db03a051205ccbeb1b6524ddf87fbc6c0127bc,30,19288810,30530311,11241501,100000,999999,26,0
0x9e19948bf326762fd50b3363393b6ab74f4d370a,30,24634813,31763825,7129012,100000,999000,27,5
0xafd872ff4f2c7e3cac56b14fc88e3421489fed08,30,24717565,25644750,927185,300000,999010,29,9
0x5dbaca8327b0baa57eb6c872a333bf8d6f642ba3,30,26647579,31597769,4950190,150000,999999,29,4
0x39e4bb6f498973d8dc7c0c125d4cab0667c4685b,30,28712644,29840537,1127893,100000,999010,29,3
0x4472c69d299382f8847ebce4fc6ed8e295510e3e,30,30537139,32346164,1809025,100000,999999,27,5
0xf33b89c958b12b0c8be77c6d65a59e3130031558,30,31279443,32152608,873165,100000,999550,26,0
0xd7321801caae694090694ff55a9323139f043b88,29,3978840,30637918,26659078,100000,999999,22,1
0x77581054581b9c525e7dd7a0155de43867532d03,29,4524150,31645103,27120953,100000,990003,27,1
0x626ed9ac519c4141cb21c86ab535c551402e4958,29,13521553,14822742,1301189,490000,999700,26,0
0x92d176ccbeeffecd8089e841d09ea17b6c22d969,29,17437939,25175835,7737896,100000,999910,26,0
0xd882cd127b8ed79443bd2869d176635cf5aa1e18,29,18278681,18709787,431106,100000,999990,26,0
0xddec0170ceb4426ea05f2fbd485dffa4fafa6615,29,32218682,32340929,122247,100000,991010,25,5
0x79fe86b963255ce884bdcac6388c50a599ba277f,28,4139364,28033577,23894213,300000,999780,26,0
0x791229e3ebd6cfdc3d8157f48722684173c29ad9,28,5710233,31378180,25667947,100000,999900,25,1
0x473c2d32e28c66d7ef55a9c9f392325007366ddf,28,5989962,32257279,26267317,108880,998000,25,0
0xbd6b2b93900fe2101d43e46da3f79b5d5b9d9ba3,28,17096721,21610696,4513975,100000,999413,23,1
0x86e5ac7ec60eeec0a8989f1f1d617ae18c15fa0c,28,18812767,30916422,12103655,100000,999350,27,9
0x81158a9780926357b2cde0f01ceecee14276b03c,28,21903731,25030649,3126918,500000,999970,26,2
0x09fd8577a5d4a7202d41aa3040f4247df4ea2d98,28,28890571,32317334,3426763,100000,983690,25,3
0xbc9e7b1c5c0081f4ae85e71ec95703d3dec9ffad,28,31101550,32343500,1241950,100000,980000,28,1
0xddf0bdae4e490230672b99fc26d798cdfd9ee066,28,31162334,31327398,165064,250000,995550,28,4
0x1095cbf6d102380ab1d9a185ae5ebb69d01f3392,28,32010519,32227490,216971,100000,999999,28,4
0x39e0d9057bd9039cd14590f54de20b9d3457c56e,27,4220453,32169801,27949348,100000,999999,24,0
0xc72c01aab5f5678dc1d6f5c6d2b417d91d402ba3,27,4473171,27611689,23138518,100000,999000,26,2
0xf444f3c77c77a33f7c8d8fcab8a1e88afb843da5,27,10663762,20444942,9781180,100000,999999,25,18
0xf9f9ddd944b96210bd80e5f64df7d6b20e806e80,27,15774947,22630557,6855610,300000,999900,25,4
0x5ea6d378abcbe125787091513341b787245f56e8,27,15819186,16393166,573980,400000,999501,26,0
0x24117e8e9312223e8fe02078c1ef8077e9b66ba3,27,27759475,30045848,2286373,100000,999999,24,3
0x77948655831f48aa17ac85233e6c921f7ef7bb2e,27,29391594,31801368,2409774,100000,996460,27,1
0x451b42a15100c340ca12f7c66de06fac5ea2d751,27,31283358,32142328,858970,700000,995550,24,2
0xf44702b17d9abd53815f703e772f35e9c71a53af,26,1279211,20094588,18815377,125000,992300,22,0
0xf0568863195770965a6d8abb0aa87f4314b80320,26,11303712,28276659,16972947,100000,999999,20,8
0xca9c78dd337a67f6e0077f65f5e9218719d30edf,26,12279012,32059585,19780573,100000,990090,25,2
0x395c45c2e5170ab9d020010dc13214ab73051e18,26,12392407,22022254,9629847,100000,999802,23,0
0x9fbf2c7f03138e791ec113fe18506b78d1f5adb1,26,25239321,27240356,2001035,300000,999992,24,0
0xc38393186c90f5eef88b765d54c1f9a69e5cbef1,26,27036035,27247023,210988,333330,990020,26,0
0x8de413a7ab76d5a5712470fc468167cbad16acbb,26,30964145,31461146,497001,166660,999003,25,4
0xfbd1bf9d354cd8197ab54f80778c03cc468adaaf,25,1747065,10978206,9231141,100000,991200,22,0
0x8e62f281f282686fca6dcb39288069a93fc23f1c,25,3974349,31169078,27194729,100000,990000,22,1
0x45f82ac5d507e988f7406935da8eefe495a360e0,25,9160074,28701991,19541917,100550,999993,24,0
0x69c68e4c00c6f6e4ac027300293a879be1e11e18,25,15682972,31509607,15826635,140000,999801,24,2
0xa95d885073a61f4d20b62526b73ad4236b608548,25,20438878,29580038,9141160,500000,999999,22,0
0x030e66ec580d44a4015b07baf4f2bda24d039560,25,21873014,28025237,6152223,100000,998446,21,11
0x7975654234605e03f1d3beebdcd5484dfc37e4c6,25,23641251,23892392,251141,300000,999999,24,13
0x91c4b7a5c655c2fcd7bc173c1e8e2469352695c2,25,24369329,30912023,6542694,100000,999455,23,1
0x239e6754507673836404717cd4405bd7cd03caa2,25,24379721,24453318,73597,297770,999990,22,1
