token,tx,block,order_key,router_sender,router_family,selected_pool,selected_fee,target_pool,target_fee,target_tick_spacing,target_is_selected,n_same_pair_hops_in_tx,input_amount,zero_for_one,n_live_same_pair,n_eligible_competitors,target_active_liquidity,target_actual_output,target_unfilled_frac,benchmark_pool,benchmark_fee,benchmark_output,benchmark_impact_bps,target_impact_bps,routeability_margin_bps,target_actual_spot,benchmark_spot,crossover_spot,lowfee_ref_pool,lowfee_ref_fee,lowfee_ref_spot,required_multiple_vs_benchmark,actual_multiple_vs_benchmark,required_multiple_vs_lowfee,actual_multiple_vs_lowfee,headroom_price_bps,naive_multiple,pairwise_fee_only_multiple,no_target_slip_multiple,eff_fee_effect,competitor_slippage_effect,target_slippage_effect,status,monotone,root_ok,root_residual_rel,recon_consistency_rel
0x43eea882b845a8493152ebc55cf30ae9281b02d5,0x79c612c28f83a75b35ba2bdb9645f8332d9b0837ca131cc2e5c90114fe44371f,13476517,13476517:2:12,0xa633c73658857d5241fe21d43f854a82e2d0592c,unlabelled router A,0x303ef7a29284985d35e3990f348fa476d178b864e7de7d767eae33ac39598984,50000,0x7995663c121f9c3ed7b5c1f39b6064d880f825f7a9e6d7ac56eb11937e339372,200000,4000,False,2,31840444270670740,True,3,1,80877975371675834778,5.09444150444e+22,0,0x303ef7a29284985d35e3990f348fa476d178b864e7de7d767eae33ac39598984,50000,7.67627533134e+22,373.434130702,3571.22160101,-3363.39398401,3110992.88812,2636188.32676,5172073.96615,,,,1.96195162297,1.18011025864,,,-3985.01856609,1.25,1.1875,1.14315469698,-0.0625,-0.0443453030209,0.818796925995,OK,True,True,4.74118e-14,0
0x43eea882b845a8493152ebc55cf30ae9281b02d5,0x79c612c28f83a75b35ba2bdb9645f8332d9b0837ca131cc2e5c90114fe44371f,13476517,13476517:2:13,0xa633c73658857d5241fe21d43f854a82e2d0592c,unlabelled router A,0x2276440d38b33394989f7819f63b1df5ed62e48192706c172cabef1480547efd,3000,0x7995663c121f9c3ed7b5c1f39b6064d880f825f7a9e6d7ac56eb11937e339372,200000,4000,False,2,76762753313397208837665,False,3,1,80877975371675834778,1.37993103892e+16,0,0x303ef7a29284985d35e3990f348fa476d178b864e7de7d767eae33ac39598984,50000,2.87897563424e+16,355.426065286,3009.37716718,-5206.86794807,3.21440786258e-7,4.09336803422e-7,7.83994731552e-7,,,,1.91528033883,0.785272136712,,,-5899.96241911,1.25,1.1875,1.14529315475,-0.0625,-0.0422068452527,0.769987184079,OK,True,True,5.84902e-13,0
0x43eea882b845a8493152ebc55cf30ae9281b02d5,0x9e8c730dc7f3fa2405a6c79a9dc063b4a2ebef7438eb8ac9da8af6fcb7de003c,13476604,13476604:7:26,0x8f10b468b06c6fd214b65f87778827f7d113f996,unlabelled router B,0x303ef7a29284985d35e3990f348fa476d178b864e7de7d767eae33ac39598984,50000,0x7995663c121f9c3ed7b5c1f39b6064d880f825f7a9e6d7ac56eb11937e339372,200000,4000,False,1,4432901109681529,True,3,1,80877975371675834778,9.42274095463e+21,0e+1,0x303ef7a29284985d35e3990f348fa476d178b864e7de7d767eae33ac39598984,50000,1.02347865702e+22,51.7214710884,689.652500880,-793.417244263,2853864.38012,2442976.03255,3109165.88675,,,,1.27269602539,1.16819172276,,,-821.125394808,1.25,1.1875,1.18135807531,-0.0625,-0.00614192469175,0.0913379500829,OK,True,True,1.00752e-12,3.07847e-16
0x43eea882b845a8493152ebc55cf30ae9281b02d5,0xd4eca49e1b776db5fc0fc3a1f615fb4816f456844956923c60186b44bc396dc0,13476702,13476702:4:20,0x8f10b468b06c6fd214b65f87778827f7d113f996,unlabelled router B,0x303ef7a29284985d35e3990f348fa476d178b864e7de7d767eae33ac39598984,50000,0x7995663c121f9c3ed7b5c1f39b6064d880f825f7a9e6d7ac56eb11937e339372,200000,4000,False,1,25374847913189582,True,3,1,80877975371675834778,4.06829667819e+22,0e+1,0x303ef7a29284985d35e3990f348fa476d178b864e7de7d767eae33ac39598984,50000,5.66070963917e+22,287.551091815,2977.59536418,-2813.09776068,2853864.38012,2417770.52201,4227638.91766,,,,1.74856913804,1.18037024364,,,-3249.50773776,1.25,1.1875,1.15335330785,-0.0625,-0.0341466921530,0.595215830198,OK,True,True,5.33403e-13,2.71372e-16
0x43eea882b845a8493152ebc55cf30ae9281b02d5,0xc24f896bd8043f84ec946874797a0304baaaa579ce51cb9e9bf863140219c73e,13476807,13476807:3:21,0x8f10b468b06c6fd214b65f87778827f7d113f996,unlabelled router B,0x303ef7a29284985d35e3990f348fa476d178b864e7de7d767eae33ac39598984,50000,0x7995663c121f9c3ed7b5c1f39b6064d880f825f7a9e6d7ac56eb11937e339372,200000,4000,False,1,13621849692895550,True,3,1,80877975371675834778,2.53334925574e+22,0,0x303ef7a29284985d35e3990f348fa476d178b864e7de7d767eae33ac39598984,50000,2.92622911059e+22,152.527474014,1854.16394044,-1342.61481247,2853864.38012,2296274.79843,3347172.39905,,,,1.45765323965,1.24282354276,,,-1473.80523054,1.25,1.1875,1.16938736246,-0.0625,-0.0181126375391,0.288265877187,OK,True,True,2.41710e-13,2.89282e-16
0x43eea882b845a8493152ebc55cf30ae9281b02d5,0xdce96769fb3985829629063940cdab4ace994bc85457873ddebdc89278120e3a,13476839,13476839:4:19,0x8f10b468b06c6fd214b65f87778827f7d113f996,unlabelled router B,0x303ef7a29284985d35e3990f348fa476d178b864e7de7d767eae33ac39598984,50000,0x7995663c121f9c3ed7b5c1f39b6064d880f825f7a9e6d7ac56eb11937e339372,200000,4000,False,1,5188837887605050,True,3,1,80877975371675834778,1.09013822533e+22,0,0x303ef7a29284985d35e3990f348fa476d178b864e7de7d767eae33ac39598984,50000,1.09131754968e+22,57.7651776114,797.874585559,-10.8064271086,2853864.38012,2226760.01934,2857080.11444,,,,1.28306601952,1.28162188801,,,-11.2553172818,1.25,1.1875,1.18064038516,-0.0625,-0.00685961484135,0.102425634362,OK,True,True,9.32761e-13,3.06121e-16
0x43eea882b845a8493152ebc55cf30ae9281b02d5,0x968e1ac6451b7222086aebb9b6516f18d5779273aaa82c77a5945eeea4c7878e,13476901,13476901:4:31,0x8f10b468b06c6fd214b65f87778827f7d113f996,unlabelled router B,0x7995663c121f9c3ed7b5c1f39b6064d880f825f7a9e6d7ac56eb11937e339372,200000,0x7995663c121f9c3ed7b5c1f39b6064d880f825f7a9e6d7ac56eb11937e339372,200000,4000,True,1,5184478540586680,True,3,1,80877975371675834778,1.08929537556e+22,0,0x303ef7a29284985d35e3990f348fa476d178b864e7de7d767eae33ac39598984,50000,1.07788080531e+22,57.3854373094,797.257701949,105.898260759,2853864.38012,2201108.48462,2822727.57918,,,,1.28241183881,1.29655780261,,,110.307495402,1.25,1.1875,1.18068547932,-0.0625,-0.00681452068050,0.101726359490,OK,True,True,1.55908e-12,3.06131e-16
0x43eea882b845a8493152ebc55cf30ae9281b02d5,0x0647015c307fed74c899213d61b325a2dbfb37b9dd0ba723819a12189ef53a68,13477030,13477030:5:36,0x8f10b468b06c6fd214b65f87778827f7d113f996,unlabelled router B,0x303ef7a29284985d35e3990f348fa476d178b864e7de7d767eae33ac39598984,50000,0x7995663c121f9c3ed7b5c1f39b6064d880f825f7a9e6d7ac56eb11937e339372,200000,4000,False,1,9079663297292134,True,3,1,80877975371675834778,1.54051379243e+22,0e+1,0x303ef7a29284985d35e3990f348fa476d178b864e7de7d767eae33ac39598984,50000,1.87960668533e+22,100.068626398,1225.18421765,-1804.06302844,2416951.03695,2201108.48462,2989483.20340,,,,1.35817167772,1.09806084245,,,-1915.15431763,1.25,1.1875,1.17561685062,-0.0625,-0.0118831493848,0.182554827105,OK,True,True,2.67515e-12,9.97070e-16
0x43eea882b845a8493152ebc55cf30ae9281b02d5,0x5a12a91dea5f410360c5a0cf8f7e94fa278d8552242bcbd1d16d9c64c4142e30,13477081,13477081:4:28,0x8f10b468b06c6fd214b65f87778827f7d113f996,unlabelled router B,0x303ef7a29284985d35e3990f348fa476d178b864e7de7d767eae33ac39598984,50000,0x7995663c121f9c3ed7b5c1f39b6064d880f825f7a9e6d7ac56eb11937e339372,200000,4000,False,1,2525382350231699,True,3,1,80877975371675834778,4.70043987153e+21,0e+1,0x303ef7a29284985d35e3990f348fa476d178b864e7de7d767eae33ac39598984,50000,5.16118566581e+21,27.7554489010,373.830132188,-892.713078196,2416951.03695,2157276.51715,2658708.56135,,,,1.23243753882,1.12037145805,,,-909.304343903,1.25,1.1875,1.18420404044,-0.0625,-0.00329595955699,0.0482334983745,OK,True,True,2.70922e-12,1.04228e-15
0x43eea882b845a8493152ebc55cf30ae9281b02d5,0x8e7da9cbfd86970d9eb09168f7d7acc04aa930fc54aa333fa48b4c6ff99e6969,13477281,13477281:2:3,0xa633c73658857d5241fe21d43f854a82e2d0592c,unlabelled router A,0x2276440d38b33394989f7819f63b1df5ed62e48192706c172cabef1480547efd,3000,0x7995663c121f9c3ed7b5c1f39b6064d880f825f7a9e6d7ac56eb11937e339372,200000,4000,False,2,9861253527177026,True,3,1,80877975371675834778,1.65566185877e+22,0e+1,0x303ef7a29284985d35e3990f348fa476d178b864e7de7d767eae33ac39598984,50000,1.98822615456e+22,107.218971172,1316.76249126,-1672.66834824,2416951.03695,2145317.90043,2941897.53727,,,,1.37131076783,1.12661672961,,,-1784.38063756,1.25,1.1875,1.17476774717,-0.0625,-0.0127322528267,0.196543020652,OK,True,True,2.03030e-12,9.92207e-16
0x43eea882b845a8493152ebc55cf30ae9281b02d5,0x8e7da9cbfd86970d9eb09168f7d7acc04aa930fc54aa333fa48b4c6ff99e6969,13477281,13477281:2:4,0xa633c73658857d5241fe21d43f854a82e2d0592c,unlabelled router A,0x303ef7a29284985d35e3990f348fa476d178b864e7de7d767eae33ac39598984,50000,0x7995663c121f9c3ed7b5c1f39b6064d880f825f7a9e6d7ac56eb11937e339372,200000,4000,False,2,22828464618181781609204,False,3,1,80877975371675834778,6.59781703680e+15,0e+1,0x303ef7a29284985d35e3990f348fa476d178b864e7de7d767eae33ac39598984,50000,9.99215079544e+15,115.599641997,1268.24723245,-3397.00013353,4.13744417951e-7,4.66131383046e-7,6.46467135900e-7,,,,1.38687751869,0.887613306034,,,-3599.91568055,1.25,1.1875,1.17377254251,-0.0625,-0.0137274574872,0.213104976173,OK,True,True,2.71371e-12,9.94783e-16
0x43eea882b845a8493152ebc55cf30ae9281b02d5,0x7ebfd85f4c6e79809a2a4587dabefb0bc90f9cb0f795cacd9369415c9ccc73b1,13477535,13477535:2:3,0xa633c73658857d5241fe21d43f854a82e2d0592c,unlabelled router A,0x2276440d38b33394989f7819f63b1df5ed62e48192706c172cabef1480547efd,3000,0x7995663c121f9c3ed7b5c1f39b6064d880f825f7a9e6d7ac56eb11937e339372,200000,4000,False,2,12422859844452772,True,3,1,80877975371675834778,2.01676146504e+22,0e+1,0x303ef7a29284985d35e3990f348fa476d178b864e7de7d767eae33ac39598984,50000,2.66193478691e+22,139.021823737,1603.94819564,-2423.70070464,2416951.03695,2287347.89240,3273997.84913,,,,1.43135106820,1.05666088005,,,-2617.73785956,1.25,1.1875,1.17099115843,-0.0625,-0.0165088415687,0.260359909769,OK,True,True,1.44398e-12,9.76955e-16
0x43eea882b845a8493152ebc55cf30ae9281b02d5,0x7ebfd85f4c6e79809a2a4587dabefb0bc90f9cb0f795cacd9369415c9ccc73b1,13477535,13477535:2:4,0xa633c73658857d5241fe21d43f854a82e2d0592c,unlabelled router A,0x303ef7a29284985d35e3990f348fa476d178b864e7de7d767eae33ac39598984,50000,0x7995663c121f9c3ed7b5c1f39b6064d880f825f7a9e6d7ac56eb11937e339372,200000,4000,False,2,30897884034629877830953,False,3,1,80877975371675834778,8.54686092026e+15,0e+1,0x303ef7a29284985d35e3990f348fa476d178b864e7de7d767eae33ac39598984,50000,1.26390073492e+16,150.983941758,1642.89683206,-3237.71188344,4.13744417951e-7,4.37187540786e-7,6.35942866669e-7,,,,1.45462257576,0.946377422392,,,-3494.00017460,1.25,1.1875,1.16957065692,-0.0625,-0.0179293430837,0.285051918844,OK,True,True,6.65469e-13,9.74887e-16
0x43eea882b845a8493152ebc55cf30ae9281b02d5,0x12c2d3c554126c767a165994ad5edec9b35e0ddca7cbe68ed85873a20e4ce1ad,13478355,13478355:6:20,0xa633c73658857d5241fe21d43f854a82e2d0592c,unlabelled router A,0x7995663c121f9c3ed7b5c1f39b6064d880f825f7a9e6d7ac56eb11937e339372,200000,0x7995663c121f9c3ed7b5c1f39b6064d880f825f7a9e6d7ac56eb11937e339372,200000,4000,True,2,4737850278819469,True,3,1,80877975371675834778,8.53880473296e+21,0e+1,0x303ef7a29284985d35e3990f348fa476d178b864e7de7d767eae33ac39598984,50000,1.05556993705e+22,54.2956989403,679.098677847,-1910.71625550,2416951.03695,2358014.83055,3011425.80472,,,,1.27710214784,1.02499399310,,,-1974.06413547,1.25,1.1875,1.18105238575,-0.0625,-0.00644761424916,0.0960497620843,OK,True,True,3.22240e-13,1.02607e-15
0x43eea882b845a8493152ebc55cf30ae9281b02d5,0x12c2d3c554126c767a165994ad5edec9b35e0ddca7cbe68ed85873a20e4ce1ad,13478355,13478355:6:21,0xa633c73658857d5241fe21d43f854a82e2d0592c,unlabelled router A,0x2276440d38b33394989f7819f63b1df5ed62e48192706c172cabef1480547efd,3000,0x7995663c121f9c3ed7b5c1f39b6064d880f825f7a9e6d7ac56eb11937e339372,200000,4000,False,2,8538804732962798259528,False,3,1,80877975371675834778,3.07397482321e+15,0e+1,0x303ef7a29284985d35e3990f348fa476d178b864e7de7d767eae33ac39598984,50000,3.42583009348e+15,41.5518885535,550.759341085,-1027.06573492,4.76229535966e-7,4.24085543078e-7,5.32416334610e-7,,,,1.25544561304,1.12295630856,,,-1055.31695763,1.25,1.1875,1.18256571323,-0.0625,-0.00493428676573,0.0728798998031,OK,True,True,5.42536e-13,7.98892e-16
0x43eea882b845a8493152ebc55cf30ae9281b02d5,0x9b53a131fd84a41542aaf54a4d55ec8273e4b17e4e21305016132de8b2e64119,13478356,13478356:1:2,0xa633c73658857d5241fe21d43f854a82e2d0592c,unlabelled router A,0x7995663c121f9c3ed7b5c1f39b6064d880f825f7a9e6d7ac56eb11937e339372,200000,0x7995663c121f9c3ed7b5c1f39b6064d880f825f7a9e6d7ac56eb11937e339372,200000,4000,True,2,15579678010664376,True,3,1,80877975371675834778,2.13941616291e+22,0e+1,0x303ef7a29284985d35e3990f348fa476d178b864e7de7d767eae33ac39598984,50000,3.42847840043e+22,176.351774069,1825.46354774,-3759.86687668,2099827.76052,2358014.83055,3549396.74892,,,,1.50524784787,0.890506596189,,,-4083.98691650,1.25,1.1875,1.16655822683,-0.0625,-0.0209417731707,0.338689621037,OK,True,True,2.58385e-12,7.46532e-16
0x43eea882b845a8493152ebc55cf30ae9281b02d5,0x9b53a131fd84a41542aaf54a4d55ec8273e4b17e4e21305016132de8b2e64119,13478356,13478356:1:3,0xa633c73658857d5241fe21d43f854a82e2d0592c,unlabelled router A,0x2276440d38b33394989f7819f63b1df5ed62e48192706c172cabef1480547efd,3000,0x7995663c121f9c3ed7b5c1f39b6064d880f825f7a9e6d7ac56eb11937e339372,200000,4000,False,2,21394161629087900480790,False,3,1,80877975371675834778,1.03488218685e+16,0,0x303ef7a29284985d35e3990f348fa476d178b864e7de7d767eae33ac39598984,50000,8.53012990411e+15,103.461934028,1515.70824105,2132.08003256,7.12672592738e-7,4.24085543078e-7,5.78618396740e-7,,,,1.36439076074,1.68049254300,,,2316.79802704,1.25,1.1875,1.17521389533,-0.0625,-0.0122861046658,0.189176865409,OK,True,True,2.38728e-12,1.32768e-15
0x43eea882b845a8493152ebc55cf30ae9281b02d5,0xe678dbda8e1796671854fb33c94bf17433e4f56d1f696549428414682b39537b,13479021,13479021:1:3,0xa633c73658857d5241fe21d43f854a82e2d0592c,unlabelled router A,0x2276440d38b33394989f7819f63b1df5ed62e48192706c172cabef1480547efd,3000,0x7995663c121f9c3ed7b5c1f39b6064d880f825f7a9e6d7ac56eb11937e339372,200000,4000,False,2,7609202846230653847208,False,3,1,80877975371675834778,5.82296614062e+15,0e+1,0x303ef7a29284985d35e3990f348fa476d178b864e7de7d767eae33ac39598984,50000,4.01501213770e+15,42.4621986721,709.537106039,4502.98514901,0.00000102962188007,5.57791808074e-7,7.01132945454e-7,,,,1.25697963883,1.84588921021,,,4685.11623571,1.25,1.1875,1.18245761391,-0.0625,-0.00504238609232,0.0745220249209,OK,True,True,7.54723e-13,9.50080e-16
0x43eea882b845a8493152ebc55cf30ae9281b02d5,0x225929d9e6e034a0623aca22f2c47ab720dba90186cbf4ec461947ed184ac917,13479106,13479106:1:4,0xa633c73658857d5241fe21d43f854a82e2d0592c,unlabelled router A,0x7995663c121f9c3ed7b5c1f39b6064d880f825f7a9e6d7ac56eb11937e339372,200000,0x7995663c121f9c3ed7b5c1f39b6064d880f825f7a9e6d7ac56eb11937e339372,200000,4000,True,2,4873426315301998519590,False,3,1,80877975371675834778,3.82703364497e+15,0,0x303ef7a29284985d35e3990f348fa476d178b864e7de7d767eae33ac39598984,50000,2.57540558986e+15,27.2371240901,466.329755590,4859.92598617,0.00000102962188007,5.57791808074e-7,6.86966300453e-7,,,,1.23158191015,1.84588921021,,,4987.95325751,1.25,1.1875,1.18426559151,-0.0625,-0.00323440848570,0.0473163186350,OK,True,True,6.03043e-13,9.62059e-16
0x43eea882b845a8493152ebc55cf30ae9281b02d5,0x76da8dfc4b3612849374a2854328874f8b00231ba7ca4daf08a5fbaddda33377,13479146,13479146:1:4,0xa633c73658857d5241fe21d43f854a82e2d0592c,unlabelled router A,0x7995663c121f9c3ed7b5c1f39b6064d880f825f7a9e6d7ac56eb11937e339372,200000,0x7995663c121f9c3ed7b5c1f39b6064d880f825f7a9e6d7ac56eb11937e339372,200000,4000,True,2,5413215968729386286112,False,3,1,80877975371675834778,3.85310605201e+15,0e+1,0x303ef7a29284985d35e3990f348fa476d178b864e7de7d767eae33ac39598984,50000,2.85979949120e+15,30.2448336376,492.472159436,3473.34337204,9.35832267300e-7,5.57791808074e-7,6.89740653549e-7,,,,1.23655572485,1.67774473156,,,3567.88616830,1.25,1.1875,1.18390842601,-0.0625,-0.00359157399446,0.0526472988465,OK,True,True,1.02938e-12,4.67947e-16
0x43eea882b845a8493152ebc55cf30ae9281b02d5,0x35eafe8a1a87480ce5ec99b88503b6aeafd35ab11ea64a27a714558d4977402a,13479251,13479251:1:4,0xa633c73658857d5241fe21d43f854a82e2d0592c,unlabelled router A,0x7995663c121f9c3ed7b5c1f39b6064d880f825f7a9e6d7ac56eb11937e339372,200000,0x7995663c121f9c3ed7b5c1f39b6064d880f825f7a9e6d7ac56eb11937e339372,200000,4000,True,2,5488863405520707883999,False,3,1,80877975371675834778,3.53787959180e+15,0e+1,0x303ef7a29284985d35e3990f348fa476d178b864e7de7d767eae33ac39598984,50000,2.89964144111e+15,30.6661964466,475.604728229,2201.09335467,8.45927662819e-7,5.57791808074e-7,6.90130274346e-7,,,,1.23725423062,1.51656523200,,,2257.50694129,1.25,1.1875,1.18385838917,-0.0625,-0.00364161082804,0.0533958414513,OK,True,True,2.83923e-12,4.45997e-16
