fee_band,order_size_bucket_bps,n,median_naive_multiple,median_pairwise_multiple,median_no_target_slip_multiple,p10_exact_required,p25_exact_required,median_exact_required,p75_exact_required,p90_exact_required,median_actual_multiple,median_headroom_bps,median_margin_bps,share_above_crossover
10-40%,all,4720,1.2500,1.1750,1.1536,0.5634,1.0901,1.4543,3.3169,27.3507,1.0030,-3223.9,-3100.0,0.1555
10-40%,<5bps,453,1.2500,1.1750,1.1748,0.7867,1.0729,1.2275,1.4230,1.8573,1.0310,-1576.3,-1557.1,0.2318
10-40%,5-25,882,1.2500,1.1870,1.1847,0.9725,1.1875,1.3819,1.9583,4.6835,1.0216,-2806.6,-2578.1,0.1440
10-40%,25-100,1320,1.2500,1.1870,1.1768,0.7048,1.1822,1.6934,4.2659,50.5536,1.0072,-4351.3,-4087.1,0.1303
10-40%,100-500,2065,1.2500,1.0795,1.0578,0.2691,1.0366,1.5230,6.5121,65.2148,0.9841,-3555.9,-3517.0,0.1598
40-70%,all,6885,2.0000,1.8998,1.8532,1.0453,1.7412,3.3009,16.4050,259.8387,0.9708,-7034.9,-6411.9,0.0463
40-70%,<5bps,335,2.0000,1.8731,1.8723,1.1654,1.6101,2.0005,2.7866,3.2678,1.0268,-4211.2,-4103.6,0.1015
40-70%,5-25,1030,2.0000,1.8998,1.8972,1.3377,1.7173,2.8114,3.4809,7.5825,1.0398,-5587.6,-5174.5,0.0485
40-70%,25-100,1971,2.0020,1.9002,1.8903,1.3759,1.8924,3.4931,7.9993,81.8199,0.9813,-6936.6,-6359.9,0.0345
40-70%,100-500,3549,2.0000,1.8998,1.8322,0.9269,1.7413,5.6531,58.6697,863.4724,0.9484,-8331.5,-7306.3,0.0471
70-90%,all,22765,6.6667,4.2299,4.2083,2.2157,5.8054,55.3642,5578.2847,159859.8343,1.0886,-9827.7,-9325.4,0.0482
70-90%,<5bps,3166,6.6667,6.3270,6.3270,3.6513,6.3400,111.9943,783.8609,2179.9889,0.9996,-9873.2,-9229.0,0.0338
70-90%,5-25,4785,6.6667,4.8100,4.8021,3.4913,6.3871,1313.8942,14351.2220,41986.8864,1.1871,-9988.8,-9735.7,0.0378
70-90%,25-100,5969,6.6667,4.2299,4.2136,2.5622,6.4185,37.1638,68126.1151,384046.5333,1.2199,-9753.8,-9274.2,0.0362
70-90%,100-500,8845,6.6667,4.0870,3.9839,1.8712,4.3771,39.9129,2633.2737,710064.9766,1.0069,-9759.2,-9240.3,0.0672
90%+,all,36693,14.3711,14.3295,14.3202,25.2646,112.1764,1586.2951,33299.9126,323384.7468,2.8980,-9992.2,-9876.0,0.0057
90%+,<5bps,6818,14.3711,14.3295,14.3287,20.0755,52.8675,119.5153,268.2346,449.6925,4.0179,-9765.3,-9010.4,0.0076
90%+,5-25,9456,14.3711,14.3295,14.3209,45.3211,804.9071,2157.4159,5328.0198,10299.6433,3.4590,-9987.5,-9731.3,0.0047
90%+,25-100,9923,14.3711,14.3295,14.2623,32.8591,234.6618,24725.8088,66773.1055,140709.1033,3.2187,-9998.4,-9905.0,0.0043
90%+,100-500,10496,14.3711,14.3295,14.0468,18.8964,112.1276,4847.1998,476385.7014,1749923.4823,1.7710,-9998.9,-9943.6,0.0068
