fee_band,order_size_bucket_bps,n,median_naive_multiple,median_pairwise_multiple,median_no_target_slip_multiple,p10_exact_required,p25_exact_required,median_exact_required,p75_exact_required,p90_exact_required,median_actual_multiple,median_headroom_bps,median_margin_bps,share_above_crossover
10-40%,all,25,1.2500,1.1875,1.1765,1.2324,1.2554,1.3453,1.4546,1.7486,1.1801,-1055.3,-1027.1,0.3600
10-40%,5-25,1,1.2500,1.1875,1.1846,1.2267,1.2267,1.2267,1.2267,1.2267,1.3094,674.5,662.3,1.0000
10-40%,25-100,12,1.2500,1.1875,1.1826,1.2324,1.2366,1.2570,1.2824,1.2831,1.5166,2257.5,2201.1,0.5833
10-40%,100-500,12,1.2500,1.1875,1.1696,1.3644,1.3869,1.4577,1.7486,1.9153,1.0981,-3249.5,-2813.1,0.0833
40-70%,all,526,2.0000,1.6250,1.5717,0.8720,1.0814,1.8794,3.3026,15.1298,0.9219,-4204.5,-3826.7,0.1350
40-70%,<5bps,35,2.0000,1.8998,1.8993,1.9425,2.1654,2.4249,3.1369,3.3454,0.9461,-6075.7,-5743.6,0.0000
40-70%,5-25,56,2.0000,1.8998,1.8966,1.1290,1.6404,2.7472,4.9710,7.4718,0.9107,-6614.7,-6077.8,0.0893
40-70%,25-100,96,2.0000,1.8998,1.8815,0.8341,1.2002,1.8935,14.5683,63.0998,0.9131,-4335.6,-3999.0,0.1562
40-70%,100-500,339,1.8182,1.2000,1.1852,0.8655,0.9741,1.7756,2.4422,8.1927,0.9291,-2802.0,-2727.7,0.1504
70-90%,all,209,6.6667,3.3333,3.3017,3.4636,3.8850,6.2955,263.1018,3059.7162,1.0108,-8392.9,-8301.7,0.0048
70-90%,<5bps,2,6.6733,4.0000,3.9985,3.8792,3.8792,4.0008,4.0008,4.0008,0.4507,-8838.3,-8718.4,0.0000
70-90%,5-25,10,6.6667,4.0000,3.9945,4.0163,4.0171,6.3285,11.5933,26.7876,0.8887,-8746.8,-8478.2,0.0000
70-90%,25-100,32,6.6667,3.3333,3.3174,3.3944,4.0449,6.3097,110.1578,279.5368,0.7609,-8353.2,-8335.3,0.0000
70-90%,100-500,165,6.6667,3.3333,3.2867,3.4840,3.7874,6.2732,486.4709,4388.9777,1.0714,-8289.3,-8168.0,0.0061
90%+,all,551,10.0000,9.4990,9.4257,2.7301,9.5115,13.8706,87.9662,607.6978,0.9728,-9254.6,-8824.3,0.1216
90%+,<5bps,62,10.0000,9.4990,9.4965,5.1497,10.5616,12.1856,15.3835,19.0126,0.5954,-9176.4,-8502.1,0.0806
90%+,5-25,96,10.0000,9.4990,9.4859,1.6248,6.4423,16.1635,36.6006,73.2805,1.3357,-9524.6,-8773.2,0.1771
90%+,25-100,123,10.0000,9.4990,9.4503,1.7328,8.0184,41.8045,139.8012,404.1106,0.6734,-9691.0,-9023.7,0.1301
90%+,100-500,270,10.0000,9.4990,9.2223,3.7448,9.5487,12.2996,203.0976,1850.4445,1.0258,-9109.3,-8758.3,0.1074
