block,timestamp,tx_hash,direction,swap_event_fire,fire_out_of_poolmanager,fire_into_poolmanager,receipt_fire_compared,difference_fire,difference_pct,v4_swaps_in_tx,canonical_swaps_in_tx,fire_pools_in_tx,cleanly_isolated,hook_delta_detected
13489272,2026-07-19T02:39:47+00:00,0x3f6681e290c38b08a44876562066d33065ea43c0b284697c874e16f189dfd03b,FIRE_TO_ETH,105130.505469038600000000,0.000000000000000000,105130.505469038600000000,105130.505469038600000000,0.000000000000000000,0.00000000,1,1,1,True,no
13492637,2026-07-19T02:45:25+00:00,0x3f26da83149e2d2f642fdd9f6a19118493d649a31bc4a4f07d0a3aa372619dbc,FIRE_TO_ETH,318878.006809249215068851,0.000000000000000000,318878.006809249215068851,318878.006809249215068851,0.000000000000000000,0.00000000,1,1,1,True,no
13495482,2026-07-19T02:50:11+00:00,0xf5dc878ba6d98fcba7ec4c7010f70d8a23b7beacc94cfb73e2de232e01eaec87,FIRE_TO_ETH,348510.564916161849463428,0.000000000000000000,348510.564916161849463428,348510.564916161849463428,0.000000000000000000,0.00000000,1,1,1,True,no
13499624,2026-07-19T02:57:07+00:00,0x0e9e2551562f96c5878dcee65e47ae54dfed974908b91d164252c548bb530a89,FIRE_TO_ETH,2246383.687500000000000000,0.000000000000000000,2246383.687500000000000000,2246383.687500000000000000,0.000000000000000000,0.00000000,1,1,1,True,no
13504882,2026-07-19T03:05:55+00:00,0x124d05cf8b7f0da11f50793000065858fef2bb1acb79e5ad3eb9ad0ebe633a0c,ETH_TO_FIRE,77515.272219924674859489,77515.272219924674859489,0.000000000000000000,77515.272219924674859489,0.000000000000000000,0.00000000,1,1,1,True,no
13514500,2026-07-19T03:22:01+00:00,0x94c41905488e826715d6f220d9c2a69a71b3b0ab5de532a9961c65d71fe3b6d0,ETH_TO_FIRE,2380.197593790921418185,2380.197593790921418185,0.000000000000000000,2380.197593790921418185,0.000000000000000000,0.00000000,1,1,1,True,no
13526105,2026-07-19T03:41:27+00:00,0x170762e85c9d3d4299935c9a8e41567fcab6870e4124de0a21c2ca4cdaa9670d,ETH_TO_FIRE,1808950.146095116614692010,1808950.146095116614692010,0.000000000000000000,1808950.146095116614692010,0.000000000000000000,0.00000000,1,1,1,True,no
13535481,2026-07-19T03:57:07+00:00,0xccf13d1a0de234b8e07871c6ce3a3f487f484d77c2805a1a1d09e622b15793d4,ETH_TO_FIRE,159651.482086038938394159,159651.482086038938394159,0.000000000000000000,159651.482086038938394159,0.000000000000000000,0.00000000,1,1,1,True,no
13542024,2026-07-19T04:08:04+00:00,0x8ab217dfbc869793e73e7ed58906ffa0d0e6ed890d9dc0cf2f1bbe68f9071500,FIRE_TO_ETH,30171.797928703778016497,0.000000000000000000,30171.797928703778016497,30171.797928703778016497,0.000000000000000000,0.00000000,1,1,1,True,no
13556767,2026-07-19T04:32:46+00:00,0x4e4eb7f6897a1f9794d08fdbdf71e33060a46b1bada6de7c368c719c073d205c,FIRE_TO_ETH,27656.380975735780848525,0.000000000000000000,27656.380975735780848525,27656.380975735780848525,0.000000000000000000,0.00000000,1,1,1,True,no
