tx_hash,timestamp,block,route_shape,n_v4_hops,suspect_pool_50_touched,suspect_pool_40_touched,canonical_pool_touched,classification,cycle_asset,cycle_input,cycle_output,gross_profit,gross_profit_pct,gas_payer,gas_cost_eth,net_profit_after_gas_if_attributable,profit_recipient,profit_recipient_confidence,all_residual_tokens,accounting_balanced,trace_ok,weth_wrap_events,swap_sender,tx_from,protocol_fee_active
0xfe06bb541cf7b3ccf438e9cffd9466acd79161156a65ebc78fa692989fa3881f,2026-07-19T05:21:31+00:00,13585884,ETH/FIRE@200000 -> FIRE/USDG@500000 -> FIRE/USDG@900000 -> FIRE/USDG@50100,4,True,False,False,MULTI_ASSET_UNRESOLVED,,0.000000000000000000,0.000000000000000000,0.000000000000000000,,0xccfd9df30028337a1d9a003724b53fe64b6f630a,0.000062852732826000,,,low,ETH:+0.0001471655|FIRE:-50000.0000000000|USDG:+13.1797890000,False,True,False,0x1d4b86491ec211257cbedd77a4380a7494624eff,0xccfd9df30028337a1d9a003724b53fe64b6f630a,no
0x46bbb36b5c1da58cfa589bb7b5dd85cdcee0fbd915a8a0d1e6441f7cd5de0b34,2026-07-19T09:11:34+00:00,13723184,ETH/FIRE@200000 -> FIRE/USDG@900000 -> FIRE/USDG@50100 -> FIRE/USDG@500000,4,True,False,False,MULTI_ASSET_UNRESOLVED,,0.000000000000000000,0.000000000000000000,0.000000000000000000,,0x72e5dc60d7f7009e4df877dc924ec02a9e580066,0.000062609556348000,,,low,ETH:+0.0001819158|FIRE:-842202.0000000000|USDG:+26.7942700000,False,True,False,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x72e5dc60d7f7009e4df877dc924ec02a9e580066,no
0x6110c258c007d8d68d3e6e6a4974b761396e3dbc2d771a84bc99411297320e66,2026-07-21T06:04:32+00:00,15333407,FIRE/USDG@50100 -> WETH/USDG@300 -> FIRE/USDG@400000 -> WETH/USDG@200,4,False,True,False,ONE_WAY_ROUTE,FIRE->WETH,8778.141659681376262818,0.001621268021230368,0.000000000000000000,0.000000,0xe93bc5b2088eac5b7bf3aabb6db9a40b079f5ffc,0.000031009329120000,,,low,FIRE:-8778.1416596814|WETH:+0.0016212680,False,True,False,0x8876789976decbfcbbbe364623c63652db8c0904,0xe93bc5b2088eac5b7bf3aabb6db9a40b079f5ffc,no
0x2ad27c41fc2e78348a7b3768167319d33f6e3484e4cdccb5ae8eac03eda82ad1,2026-07-23T02:50:44+00:00,16941808,ETH/FIRE@3000 -> FIRE/USDG@500000,2,True,False,True,ONE_WAY_ROUTE,ETH->USDG,0.031318531897268427,100.907144000000000000,0.000000000000000000,0.000000,0xb4864f7f85eb2fdbd58b4293a2b9bd684fb13336,0.000079164710870000,,,low,ETH:-0.0313185319|USDG:+100.9071440000,False,True,False,0xa633c73658857d5241fe21d43f854a82e2d0592c,0xb4864f7f85eb2fdbd58b4293a2b9bd684fb13336,no
0xade3300f80d779fec5edc269e80015c727d1a225cc2fe5ea7bb120eaf2701924,2026-07-23T02:50:44+00:00,16941809,ETH/USDG@100 -> FIRE/USDG@400000 -> FIRE/USDG@50100 -> ETH/USDG@100,4,False,True,False,CLOSED_CYCLE,ETH,0.000369165968405919,0.000702932483737760,0.000333766515331841,90.410965,0x000043499317f9f18a14a9059cbb94e2c72d71a6,0.000016498764240000,0.000317267751091841,0xf094e5ac95a1f7120bc4a17296e41677e1dcd1ba,medium,ETH:+0.0003337665,True,True,False,0xf094e5ac95a1f7120bc4a17296e41677e1dcd1ba,0x000043499317f9f18a14a9059cbb94e2c72d71a6,no
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,2026-07-23T02:56:07+00:00,16945015,ETH/USDG@0 -> FIRE/USDG@500000,2,True,False,False,ONE_WAY_ROUTE,FIRE->USDG,2144.511156283800000000,1.901863000000000000,0.000000000000000000,0.000000,0x43370308b53e3611521ba48e2f7632a5644d7b1f,0.000155261282880000,,,low,FIRE:-2144.5111562838|USDG:+1.9018630000,False,True,False,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x43370308b53e3611521ba48e2f7632a5644d7b1f,no
0x68bd9a33708ae4c5d59865eff34299b17d489d38e8bbacbd7bd6b275ee14ad85,2026-07-23T02:59:40+00:00,16947150,ETH/FIRE@3000 -> FIRE/USDG@500000,2,True,False,True,ONE_WAY_ROUTE,ETH->USDG,0.004079563871403220,8.325636000000000000,0.000000000000000000,0.000000,0x6113eecea9998199825a9df4811368f069d85a50,0.000077168045216000,,,low,ETH:-0.0040795639|USDG:+8.3256360000,False,True,False,0xa633c73658857d5241fe21d43f854a82e2d0592c,0x6113eecea9998199825a9df4811368f069d85a50,no
0x82bc076a2241578680e29ae97fb5245654c4b63a63c756d4257c3ef2aa407ad8,2026-07-23T03:00:49+00:00,16947830,ETH/USDG@100 -> ETH/FIRE@3000 -> FIRE/USDG@500000,3,True,False,True,MULTI_ASSET_UNRESOLVED,,0.000000000000000000,0.000000000000000000,0.000000000000000000,,0x81a514664f5330b7b9f131691c67a1895a2f4bc6,0.000023123274944000,,,low,ETH:+0.0000207672|USDG:+0.1142790000,False,True,False,0x4dbfd2ea0fa92f7f4e695078abb905395a24c113,0x81a514664f5330b7b9f131691c67a1895a2f4bc6,no
0x097b2738e51cb10e5e345239b790a8c23a26263ccdb25a9229f7e264eb799021,2026-07-23T03:27:15+00:00,16963641,FIRE/USDG@500000,1,True,False,False,ONE_WAY_ROUTE,FIRE->USDG,4144.008340027574371295,3.023953000000000000,0.000000000000000000,0.000000,0x4337016838785634c63fce393bfc6222564436c4,0.000051271326930000,,,low,FIRE:-4144.0083400276|USDG:+3.0239530000,False,True,False,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x4337016838785634c63fce393bfc6222564436c4,no
0xca79f4c1188e23915caf67d7e9ccb19b9b25309c0a8d24ec2ab6b2541b359afe,2026-07-23T03:31:52+00:00,16966396,FIRE/USDG@500000,1,True,False,False,ONE_WAY_ROUTE,FIRE->USDG,2687.147082643713950290,1.913554000000000000,0.000000000000000000,0.000000,0x4337021d22bcd0775a0fd1b4a6665051dc15d995,0.000050616168480000,,,low,FIRE:-2687.1470826437|USDG:+1.9135540000,False,True,False,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x4337021d22bcd0775a0fd1b4a6665051dc15d995,no
