tx_hash,token,token_address,address,address_type,known_role,net_raw,net_amount
0x6110c258c007d8d68d3e6e6a4974b761396e3dbc2d771a84bc99411297320e66,FIRE,0x43eea882b845a8493152ebc55cf30ae9281b02d5,0xe93bc5b2088eac5b7bf3aabb6db9a40b079f5ffc,EOA,,-8778141659681376262818,-8778.141659681376262818
0x6110c258c007d8d68d3e6e6a4974b761396e3dbc2d771a84bc99411297320e66,FIRE,0x43eea882b845a8493152ebc55cf30ae9281b02d5,0x8366a39cc670b4001a1121b8f6a443a643e40951,INFRASTRUCTURE,Uniswap V4 PoolManager,8778141659681376262818,8778.141659681376262818
0x6110c258c007d8d68d3e6e6a4974b761396e3dbc2d771a84bc99411297320e66,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x8366a39cc670b4001a1121b8f6a443a643e40951,INFRASTRUCTURE,Uniswap V4 PoolManager,-1621268021230368,-0.001621268021230368
0x6110c258c007d8d68d3e6e6a4974b761396e3dbc2d771a84bc99411297320e66,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x0000000000000000000000000000000000000000,EOA,,1621268021230368,0.001621268021230368
0x6110c258c007d8d68d3e6e6a4974b761396e3dbc2d771a84bc99411297320e66,ETH,0x0000000000000000000000000000000000000000,0x0bd7d308f8e1639fab988df18a8011f41eacad73,INFRASTRUCTURE,WETH contract,-1621268021230368,-0.001621268021230368
0x6110c258c007d8d68d3e6e6a4974b761396e3dbc2d771a84bc99411297320e66,ETH,0x0000000000000000000000000000000000000000,0xe93bc5b2088eac5b7bf3aabb6db9a40b079f5ffc,EOA,,1621268021230368,0.001621268021230368
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,BOWYER,0xaf4c10fef50059d1e3e8ab1c80e46db6a76098b4,0x0e1061b46f4fddf9c74ee0febd722c1fed6c93b6,EOA_7702,,-325229856122621035253939,-325229.856122621035253939
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,BOWYER,0xaf4c10fef50059d1e3e8ab1c80e46db6a76098b4,0xaf4c10fef50059d1e3e8ab1c80e46db6a76098b4,CONTRACT,,3252298561226210352539,3252.298561226210352539
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,BOWYER,0xaf4c10fef50059d1e3e8ab1c80e46db6a76098b4,0xc4ad95e1bc22cac4e163f3405b14729e6462f504,CONTRACT,,321977557561394824901400,321977.5575613948249014
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,VIRTUAL,0xc6911796042b15d7fa4f6cde69e245ddcd3d9c31,0xc4ad95e1bc22cac4e163f3405b14729e6462f504,CONTRACT,,-298745127769760216554,-298.745127769760216554
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,VIRTUAL,0xc6911796042b15d7fa4f6cde69e245ddcd3d9c31,0x9cc8c4f6118419a27f113723f1dea646685be55f,CONTRACT,,248944314970541188454,248.944314970541188454
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,VIRTUAL,0xc6911796042b15d7fa4f6cde69e245ddcd3d9c31,0x851d1b0342d2257a4172826b68221d2366c1c6b5,CONTRACT,,49800812799219028100,49.8008127992190281
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x9cc8c4f6118419a27f113723f1dea646685be55f,CONTRACT,,-80535312164624874,-0.080535312164624874
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x851d1b0342d2257a4172826b68221d2366c1c6b5,CONTRACT,,-16100704534907228,-0.016100704534907228
