tx_hash,block,timestamp,route_shape,n_v4_hops,tx_from,tx_from_type,tx_from_population_frequency,swap_sender,swap_sender_population_frequency,v4_input_token,v4_input_token_address,v4_input_amount,v4_output_token,v4_output_token_address,v4_output_amount,economic_input_source,economic_input_source_type,physical_input_source_amount,economic_output_recipient,economic_output_recipient_type,physical_output_recipient_amount,input_source_equals_tx_from,output_returns_to_input_source,position_manager_touched,universal_router_touched,permit2_touched,zeroex_allowanceholder_touched,classification,confidence,classification_reason
0x6110c258c007d8d68d3e6e6a4974b761396e3dbc2d771a84bc99411297320e66,15333407,2026-07-21T06:04:32+00:00,FIRE/USDG@50100 -> WETH/USDG@300 -> FIRE/USDG@400000 -> WETH/USDG@200,4,0xe93bc5b2088eac5b7bf3aabb6db9a40b079f5ffc,EOA,1,0x8876789976decbfcbbbe364623c63652db8c0904,11,FIRE,0x43eea882b845a8493152ebc55cf30ae9281b02d5,8778.141659681376262818,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0.001621268021230368,0xe93bc5b2088eac5b7bf3aabb6db9a40b079f5ffc,EOA,8778.141659681376262818,,,0,True,False,False,True,True,False,DIRECT_USER_SELL,HIGH,FIRE economic source is the transaction sender.
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,16945015,2026-07-23T02:56:07+00:00,ETH/USDG@0 -> FIRE/USDG@500000,2,0x43370308b53e3611521ba48e2f7632a5644d7b1f,EOA,2,0x1d4b86491ec211257cbedd77a4380a7494624eff,17,FIRE,0x43eea882b845a8493152ebc55cf30ae9281b02d5,2144.5111562838,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,1.901863,0x3268eebced4018c5321d904121c10111a4700daf,EOA_7702,2144.5111562838,0x4cd00e387622c35bddb9b4c962c136462338bc31,CONTRACT,252.872526,False,False,False,False,False,False,RFQ_INTENT_SETTLEMENT,MEDIUM,Distinct user-like wallet supplies FIRE while another account submits the transaction.
0x2ad27c41fc2e78348a7b3768167319d33f6e3484e4cdccb5ae8eac03eda82ad1,16941808,2026-07-23T02:50:44+00:00,ETH/FIRE@3000 -> FIRE/USDG@500000,2,0xb4864f7f85eb2fdbd58b4293a2b9bd684fb13336,EOA,9,0xa633c73658857d5241fe21d43f854a82e2d0592c,26,ETH,0x0000000000000000000000000000000000000000,0.031318531897268427,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,100.907144,0xa633c73658857d5241fe21d43f854a82e2d0592c,CONTRACT,0.031634880704311542,0x52e65b17fb6e5ba00ed806f37afcd2daa50271ca,CONTRACT,100.907144,False,False,False,False,False,False,OTHER_ONE_WAY_ROUTE,MEDIUM,One-way route does not use FIRE as its economic V4 input.
0x68bd9a33708ae4c5d59865eff34299b17d489d38e8bbacbd7bd6b275ee14ad85,16947150,2026-07-23T02:59:40+00:00,ETH/FIRE@3000 -> FIRE/USDG@500000,2,0x6113eecea9998199825a9df4811368f069d85a50,EOA,1,0xa633c73658857d5241fe21d43f854a82e2d0592c,26,ETH,0x0000000000000000000000000000000000000000,0.00407956387140322,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,8.325636,0xa633c73658857d5241fe21d43f854a82e2d0592c,CONTRACT,0.004120771587275979,0x52e65b17fb6e5ba00ed806f37afcd2daa50271ca,CONTRACT,8.325636,False,False,False,False,False,False,OTHER_ONE_WAY_ROUTE,MEDIUM,One-way route does not use FIRE as its economic V4 input.
0x097b2738e51cb10e5e345239b790a8c23a26263ccdb25a9229f7e264eb799021,16963641,2026-07-23T03:27:15+00:00,FIRE/USDG@500000,1,0x4337016838785634c63fce393bfc6222564436c4,EOA,1,0x1d4b86491ec211257cbedd77a4380a7494624eff,17,FIRE,0x43eea882b845a8493152ebc55cf30ae9281b02d5,4144.008340027574371295,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,3.023953,0xe0077b307550eff13aad4a163be7c1d99b22314d,EOA_7702,4144.008340027574371295,0x4cd00e387622c35bddb9b4c962c136462338bc31,CONTRACT,3.023953,False,False,False,False,False,False,RFQ_INTENT_SETTLEMENT,MEDIUM,Distinct user-like wallet supplies FIRE while another account submits the transaction.
0xca79f4c1188e23915caf67d7e9ccb19b9b25309c0a8d24ec2ab6b2541b359afe,16966396,2026-07-23T03:31:52+00:00,FIRE/USDG@500000,1,0x4337021d22bcd0775a0fd1b4a6665051dc15d995,EOA,1,0x1d4b86491ec211257cbedd77a4380a7494624eff,17,FIRE,0x43eea882b845a8493152ebc55cf30ae9281b02d5,2687.14708264371395029,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,1.913554,0x23845fb6645bbb694d4089c920794b9cf6ae61c6,EOA_7702,2687.14708264371395029,0x4cd00e387622c35bddb9b4c962c136462338bc31,CONTRACT,1.913554,False,False,False,False,False,False,RFQ_INTENT_SETTLEMENT,MEDIUM,Distinct user-like wallet supplies FIRE while another account submits the transaction.
0x1b7c5c26aa9724794d5b9685cb306f0c9dc05a8811a5d2caf734c6b5a1446268,17054619,2026-07-23T05:59:24+00:00,FIRE/USDG@500000,1,0x43370188473a398394e4ba4a7c7cbb2c6265e22a,EOA,1,0x1d4b86491ec211257cbedd77a4380a7494624eff,17,FIRE,0x43eea882b845a8493152ebc55cf30ae9281b02d5,4013.4344747681,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,2.792735,0x7a09760387b078c9e255467c8c5620e25f8a16af,EOA_7702,4013.4344747681,0x4cd00e387622c35bddb9b4c962c136462338bc31,CONTRACT,2.792735,False,False,False,False,False,False,RFQ_INTENT_SETTLEMENT,MEDIUM,Distinct user-like wallet supplies FIRE while another account submits the transaction.
0xf50ffe042627593be4497336916db1f1ff1386c3e9a1055da47b66365dfa06f7,17296836,2026-07-23T12:44:10+00:00,FIRE/USDG@450000 -> FIRE/USDG@400000 -> FIRE/USDG@25000 -> FIRE/USDG@500000,4,0x35f17f653000b663c3f28667bcd68b2e17d460d7,EOA,3,0x1d4b86491ec211257cbedd77a4380a7494624eff,17,FIRE,0x43eea882b845a8493152ebc55cf30ae9281b02d5,10000,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,7.248075,0x35f17f653000b663c3f28667bcd68b2e17d460d7,EOA,10000,0x52e65b17fb6e5ba00ed806f37afcd2daa50271ca,CONTRACT,7.248075,True,False,False,False,False,False,DIRECT_USER_SELL,HIGH,FIRE economic source is the transaction sender.
0xb9502a70234e44da590669bafad43ccba5d1bdc3ff0ee130843da13ee40b7959,17297811,2026-07-23T12:45:47+00:00,ETH/FIRE@3000 -> FIRE/USDG@500000,2,0xd71212080d90ffa50a80bff2af2ade6f99f29b96,EOA,1,0x1521027b665fa38fa4a642991607ad708376dd7b,1,ETH,0x0000000000000000000000000000000000000000,0.003506055801907824,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,7.055577,0x1521027b665fa38fa4a642991607ad708376dd7b,CONTRACT,0.0035414705069776,0x52e65b17fb6e5ba00ed806f37afcd2daa50271ca,CONTRACT,7.055577,False,False,False,False,False,False,OTHER_ONE_WAY_ROUTE,MEDIUM,One-way route does not use FIRE as its economic V4 input.
0x97b9df076fe1a90f52805aa1e411b3aea2d37c841459cb7e946b4df94e341ce7,17748013,2026-07-24T01:17:53+00:00,FIRE/USDG@400000,1,0x0db8a59558dad8e67b5b4d4ea6aabf9f96bf075d,EOA,1,0xa687b664662b96b180346d699a6d5b42e9b05d31,5,FIRE,0x43eea882b845a8493152ebc55cf30ae9281b02d5,5198.175976119336126776,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,3.395128,0x0db8a59558dad8e67b5b4d4ea6aabf9f96bf075d,EOA,5198.175976119336126776,0x0db8a59558dad8e67b5b4d4ea6aabf9f96bf075d,EOA,3.378153,True,True,False,False,False,False,DIRECT_USER_SELL,HIGH,FIRE economic source is the transaction sender.
