origin_tx,fire_source,fire_source_type,fire_sold,v4_output_amount,relay_depositor,deposit_token,deposit_amount_raw,order_id,request_id,relay_user,relay_recipient,relay_sender,status,origin_chain,destination_chain,quoted_origin_input_symbol,quoted_origin_input_amount,actual_origin_input_symbol,actual_origin_input_amount,quoted_destination_output_symbol,quoted_destination_output_amount,actual_destination_output_symbol,actual_destination_output_amount,solver,fill_tx,relay_api_found
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,0x3268eebced4018c5321d904121c10111a4700daf,EOA_7702,2144.5111562838,1.901863,0x0e1061b46f4fddf9c74ee0febd722c1fed6c93b6,0x5fc5360d0400a0fd4f2af552add042d716f1d168,186091399,0x6ad60d644229c340bdf361791bd579c545cd5cb631419b74dd83b642245f37f5,,,,,,,,,,,,,,,,,,False
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,0x3268eebced4018c5321d904121c10111a4700daf,EOA_7702,2144.5111562838,1.901863,0xe677efcf5bc895da95e742c04de66f81a3b663b9,0x5fc5360d0400a0fd4f2af552add042d716f1d168,64879264,0x38757e0900c9b7a124f23ef26a87fe4045beebf79ba65f662d8d3a1aa3bafc52,,,,,,,,,,,,,,,,,,False
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,0x3268eebced4018c5321d904121c10111a4700daf,EOA_7702,2144.5111562838,1.901863,0x3268eebced4018c5321d904121c10111a4700daf,0x5fc5360d0400a0fd4f2af552add042d716f1d168,1901863,0x5bcbe5e5f071bf2158306d8b134238bbec8bd7293bd577cd74dcf53e8ccdb4f1,,,,,,,,,,,,,,,,,,False
0x097b2738e51cb10e5e345239b790a8c23a26263ccdb25a9229f7e264eb799021,0xe0077b307550eff13aad4a163be7c1d99b22314d,EOA_7702,4144.008340027574371295,3.023953,0xe0077b307550eff13aad4a163be7c1d99b22314d,0x5fc5360d0400a0fd4f2af552add042d716f1d168,3023953,0xcbbdd498fdb2846c8ccfcce41087fa08d7ad8735fc54d3d57e398f6b82c60ad7,,,,,,,,,,,,,,,,,,False
0xca79f4c1188e23915caf67d7e9ccb19b9b25309c0a8d24ec2ab6b2541b359afe,0x23845fb6645bbb694d4089c920794b9cf6ae61c6,EOA_7702,2687.14708264371395029,1.913554,0x23845fb6645bbb694d4089c920794b9cf6ae61c6,0x5fc5360d0400a0fd4f2af552add042d716f1d168,1913554,0x6b7b5740fc3aa325941f3c56a8017ea35935504b02642af484a4e76492565a9c,,,,,,,,,,,,,,,,,,False
0x1b7c5c26aa9724794d5b9685cb306f0c9dc05a8811a5d2caf734c6b5a1446268,0x7a09760387b078c9e255467c8c5620e25f8a16af,EOA_7702,4013.4344747681,2.792735,0x7a09760387b078c9e255467c8c5620e25f8a16af,0x5fc5360d0400a0fd4f2af552add042d716f1d168,2792735,0x36f09c51add846100bc080f61523be60a39e98f080a34b30c1081044366fcd6b,,,,,,,,,,,,,,,,,,False
0x70b1124c104e7f8dfe01737b5544dbecc861c3f25cf1bd56c46baf973971292f,0x95f44a617172de3938240a2d0a0f52df5dbd8f48,EOA_7702,4045.0592960165,2.544418,0x95f44a617172de3938240a2d0a0f52df5dbd8f48,0x5fc5360d0400a0fd4f2af552add042d716f1d168,2544418,0x6219f74d0a0ff553abc3f4b22d273863b12b6361382118cab86357680b4dbf1b,,,,,,,,,,,,,,,,,,False
0x6c6b4aaa9824a3d21e7c0cea6b8310a1499f5d1f518e9cf7de9b8a1c8f9e4d08,0x12eed01bbdeff4848296bfc608dedacbf4813902,EOA_7702,4657.8328240988,2.854402,0x12eed01bbdeff4848296bfc608dedacbf4813902,0x5fc5360d0400a0fd4f2af552add042d716f1d168,2854402,0x8bacc6a197c6938c27f1dd5ffecc613e40f39cc03e85eb04848f696a77479d67,,,,,,,,,,,,,,,,,,False
0x13976748c9ec47f275cf18ed6261210d8c36624e6fba3344a21b65d6fd4ff9d1,0x85c857ee7bf7c23b0f463b1c0e130f408b34e9eb,EOA_7702,4210.894902325255219588,2.939952,0x85c857ee7bf7c23b0f463b1c0e130f408b34e9eb,0x5fc5360d0400a0fd4f2af552add042d716f1d168,2939952,0xac5bca2347ac9d889bd3eb8488ef327e87366258626d3f191c5b0683985f2520,,,,,,,,,,,,,,,,,,False
0x5343f529dde83de5a69f167746ef76f95f9350fe3a2c7e1f663e5caf9e71f257,0xdc7e7358922826eaeb11f6ad0cbe3c109d96e705,EOA_7702,9850.28198233373848904,5.17913,0xdc7e7358922826eaeb11f6ad0cbe3c109d96e705,0x5fc5360d0400a0fd4f2af552add042d716f1d168,5179130,0x962b259380d5eb5973e42b445f1cb60d9dea13200709105ac9d1d8e609865c94,,,,,,,,,,,,,,,,,,False
0x1347148cb39ca5001db1b7be88e91c25134e8bf2fa4920fdfd6b6ff450fe58ee,0xfea12f8f88faf484c0c74818f48b6a688c549d2d,EOA_7702,6169.696621947221570347,3.792264,0xfea12f8f88faf484c0c74818f48b6a688c549d2d,0x5fc5360d0400a0fd4f2af552add042d716f1d168,3792264,0x9eb883ac1546c736e1fbba67ca4c1727b34eefb0020d7aeea203b05c44084eb5,,,,,,,,,,,,,,,,,,False
0x036c9da13f534059d5feb064f85e0c069caa48f3b157271b31ccd373406c8a29,0x6de10fca0e47549a78d1527573c5d42a5f18f15a,EOA_7702,4631.819918130973597053,2.334657,0x6de10fca0e47549a78d1527573c5d42a5f18f15a,0x5fc5360d0400a0fd4f2af552add042d716f1d168,2334657,0x4584f44cd199db099273b5d0c4c1b1b0e7649b43a94e03efaab790173782ef13,,,,,,,,,,,,,,,,,,False
0x08e50bfda808b7991599da01be574023be05212e60225203e5d1b8228b96c660,0x67b142cf3fcbf2975e29940716ddb411cc85a496,EOA_7702,6277.083525423276633932,3.323093,0x67b142cf3fcbf2975e29940716ddb411cc85a496,0x5fc5360d0400a0fd4f2af552add042d716f1d168,3323093,0x30e6486ea1c0fd5812d2941f7c287f1529495d9d6b5e94eb086ce32e23036cce,,,,,,,,,,,,,,,,,,False
0x64fa0aa1c397a6b32f8bdff2c53a9bb079e8ce156b5418351aa19d9b8c41e791,0x40ed225bdcb060947f6887fcbb811c6d320e6bce,EOA_7702,5201.553144158262515977,2.401443,0x40ed225bdcb060947f6887fcbb811c6d320e6bce,0x5fc5360d0400a0fd4f2af552add042d716f1d168,2401443,0xe3a8816fa76c57634176850f16bae432cd1f565b5216f759b358aa43b3662b7e,,,,,,,,,,,,,,,,,,False
0x0e8761a434d77192d252711ea37f5bf9036540543cc62b7b302ac27cb97c98bc,0xa6580ce630320e9e88a32ec5a6fbe154252dd09e,EOA_7702,6844.6432008003,2.296555,0xa6580ce630320e9e88a32ec5a6fbe154252dd09e,0x5fc5360d0400a0fd4f2af552add042d716f1d168,2296555,0xf4418ed95237ae1b377016a16e3f304aba4c28211ef10a3a49267b50f2d79eda,,,,,,,,,,,,,,,,,,False
0x5717d76e8646d3e2983d565210ccc95b5cb61ae0d81c82a84d5b0eb8b175ea65,0x240a3b686201aa700ff685334a63b0351991680c,EOA_7702,4679.502885037473162617,2.084315,0x240a3b686201aa700ff685334a63b0351991680c,0x5fc5360d0400a0fd4f2af552add042d716f1d168,2084315,0xa03b4eed311a1f0205eca532a53411e309d37e423fbb759ee90153c7dae3dd0d,,,,,,,,,,,,,,,,,,False
0xdfef287a4a46121ca8bce8e9dc1052af434cced44422621119ed86088c727c21,0x353a3cbaceb6e95ceb503e21d19a903a29806e14,EOA_7702,9346.3422642319,3.951908,0x353a3cbaceb6e95ceb503e21d19a903a29806e14,0x5fc5360d0400a0fd4f2af552add042d716f1d168,3951908,0xf814552d80f2b08e5682be77abe42a47ccfad82efe640b169a9720afba31aa9d,,,,,,,,,,,,,,,,,,False
0x88de39808ac0335c509d0a853382fef16634d9d4d5d185b468ecb158982d60a8,0x7a09760387b078c9e255467c8c5620e25f8a16af,EOA_7702,11832.3889739029,5.938436,0x7a09760387b078c9e255467c8c5620e25f8a16af,0x5fc5360d0400a0fd4f2af552add042d716f1d168,5938436,0xb6e8495e71b8cd70827f551319d697b6f665d7b75929f2304aa462267d534dcd,,,,,,,,,,,,,,,,,,False
0x7ff8e745d14ac0f798fe449114c5cd5dd58790df090b415c407e6218f7b0d407,0xb1cc9e0cd3d51a582b7bd66049aee8854fdba408,EOA_7702,59078.6163482397,21.389005,0xb1cc9e0cd3d51a582b7bd66049aee8854fdba408,0x5fc5360d0400a0fd4f2af552add042d716f1d168,21389005,0x196fbae81177d0bd0adf2d89f330f04220b2d1b821120ea68317ac11aaf77a55,,,,,,,,,,,,,,,,,,False
0x20a5232eb7c5d688b2ec7815e59c6428c7c7c76f1ef6c0101e2f6fc272cb6886,0xa6580ce630320e9e88a32ec5a6fbe154252dd09e,EOA_7702,80411.152599781758990138,16.327337,0xa6580ce630320e9e88a32ec5a6fbe154252dd09e,0x5fc5360d0400a0fd4f2af552add042d716f1d168,16327337,0x5c278f605caa787d4e374f45f368502b80ca0dc59ef736e11f14acc72dfe2fc4,,,,,,,,,,,,,,,,,,False
