tx_hash,block,timestamp,tx_from,native_value_eth,input_token_class,tokens_sent_by_eoa,tokens_recv_by_eoa,v4_hops,n_v4_hops,suspect_legs,suspect_usdg_in,suspect_fire_out,swap_sender
0xfe06bb541cf7b3ccf438e9cffd9466acd79161156a65ebc78fa692989fa3881f,13585884,2026-07-19T05:21:31+00:00,0xccfd9df30028337a1d9a003724b53fe64b6f630a,0,FIRE,FIRE:50000,,ETH/FIRE@200000 -> FIRE/USDG@500000 -> FIRE/USDG@900000 -> FIRE/USDG@50100,4,1,6.752983,23746.125,0x1d4b86491ec211257cbedd77a4380a7494624eff
0x46bbb36b5c1da58cfa589bb7b5dd85cdcee0fbd915a8a0d1e6441f7cd5de0b34,13723184,2026-07-19T09:11:34+00:00,0x72e5dc60d7f7009e4df877dc924ec02a9e580066,0,none_from_eoa,,,ETH/FIRE@200000 -> FIRE/USDG@900000 -> FIRE/USDG@50100 -> FIRE/USDG@500000,4,1,12.414154,421134.180232194,0x1d4b86491ec211257cbedd77a4380a7494624eff
0x6110c258c007d8d68d3e6e6a4974b761396e3dbc2d771a84bc99411297320e66,15333407,2026-07-21T06:04:32+00:00,0xe93bc5b2088eac5b7bf3aabb6db9a40b079f5ffc,0,FIRE,FIRE:8339.234576697307449677|FIRE:438.907082984068813141,,FIRE/USDG@50100 -> WETH/USDG@300 -> FIRE/USDG@400000 -> WETH/USDG@200,4,1,0.161631,438.90708298406884,0x8876789976decbfcbbbe364623c63652db8c0904
0x2ad27c41fc2e78348a7b3768167319d33f6e3484e4cdccb5ae8eac03eda82ad1,16941808,2026-07-23T02:50:44+00:00,0xb4864f7f85eb2fdbd58b4293a2b9bd684fb13336,0,none_from_eoa,,,ETH/FIRE@3000 -> FIRE/USDG@500000,2,1,100.907144,67849.17295137508,0xa633c73658857d5241fe21d43f854a82e2d0592c
0xade3300f80d779fec5edc269e80015c727d1a225cc2fe5ea7bb120eaf2701924,16941809,2026-07-23T02:50:44+00:00,0x000043499317f9f18a14a9059cbb94e2c72d71a6,1.2959E-14,ETH(native),,,ETH/USDG@100 -> FIRE/USDG@400000 -> FIRE/USDG@50100 -> ETH/USDG@100,4,1,1.353015,740.6550699575906,0xf094e5ac95a1f7120bc4a17296e41677e1dcd1ba
0x64a1b87235edb8fce25e9797dd1b136374359256b00edc9f48a966f7a5f7c27e,16945015,2026-07-23T02:56:07+00:00,0x43370308b53e3611521ba48e2f7632a5644d7b1f,0,none_from_eoa,,,ETH/USDG@0 -> FIRE/USDG@500000,2,1,1.901863,2144.5111562838,0x1d4b86491ec211257cbedd77a4380a7494624eff
0x68bd9a33708ae4c5d59865eff34299b17d489d38e8bbacbd7bd6b275ee14ad85,16947150,2026-07-23T02:59:40+00:00,0x6113eecea9998199825a9df4811368f069d85a50,0,none_from_eoa,,,ETH/FIRE@3000 -> FIRE/USDG@500000,2,1,8.325636,10056.757631731669,0xa633c73658857d5241fe21d43f854a82e2d0592c
0x82bc076a2241578680e29ae97fb5245654c4b63a63c756d4257c3ef2aa407ad8,16947830,2026-07-23T03:00:49+00:00,0x81a514664f5330b7b9f131691c67a1895a2f4bc6,0,none_from_eoa,,USDG:0.114279,ETH/USDG@100 -> ETH/FIRE@3000 -> FIRE/USDG@500000,3,1,4.114279,5404.405841889779,0x4dbfd2ea0fa92f7f4e695078abb905395a24c113
0x097b2738e51cb10e5e345239b790a8c23a26263ccdb25a9229f7e264eb799021,16963641,2026-07-23T03:27:15+00:00,0x4337016838785634c63fce393bfc6222564436c4,0,none_from_eoa,,,FIRE/USDG@500000,1,1,3.023953,4144.008340027574,0x1d4b86491ec211257cbedd77a4380a7494624eff
0xca79f4c1188e23915caf67d7e9ccb19b9b25309c0a8d24ec2ab6b2541b359afe,16966396,2026-07-23T03:31:52+00:00,0x4337021d22bcd0775a0fd1b4a6665051dc15d995,0,none_from_eoa,,,FIRE/USDG@500000,1,1,1.913554,2687.147082643714,0x1d4b86491ec211257cbedd77a4380a7494624eff
