token,pool_id,fee,tick_spacing,hooked,ts_sig,fire_cohort,init_block,deployment_rank,n_competing,seed_status,seed_salt,n_swaps,n_mods,n_known_infra_swaps,known_infra_flow,outcome_t3,n_router_swaps_t3,router_like_flow_t3,outcome_t5,n_router_swaps_t5,router_like_flow_t5,outcome_t10,n_router_swaps_t10,router_like_flow_t10,n_known,known_flow,n_unknown_prev_t3,unknown_prev_flow_t3,n_router_like_t3,n_unknown_prev_t5,unknown_prev_flow_t5,n_router_like_t5,n_unknown_prev_t10,unknown_prev_flow_t10,n_router_like_t10,n_other,own_harvest_after_known,own_scale_after_known,foreign_poke_after_known
0x40858070814a57fdf33a613ae84fe0a8b4a874f7,0x70005ea8d53122a8c377eb2803bee0bd3526f63d024d01ff73158a25bd86b6ea,900000,18000,False,False,False,984649,1,10,SEEDED,134,0,3,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,0,False,0,False,0,0,False,0,0,False,0,0,0,0,0
0x40858070814a57fdf33a613ae84fe0a8b4a874f7,0x960b8f97d69922c849571849589ee1dea45f229c47620bcd3d004f1fa94e19f5,900000,18000,False,False,False,998745,2,10,SEEDED,168,3,2,0,False,FLOW_AND_HARVESTED,3,True,FLOW_AND_HARVESTED,3,True,FLOW_AND_HARVESTED,3,True,0,False,3,True,3,3,True,3,3,True,3,0,0,0,0
0x40858070814a57fdf33a613ae84fe0a8b4a874f7,0xca18ff1371893255e840d7c4924b9418c36aea8460e5a22732b5ad19077abd45,890000,17800,False,False,False,9012337,3,10,SEEDED,78916,0,1,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,0,False,0,False,0,0,False,0,0,False,0,0,0,0,0
0x40858070814a57fdf33a613ae84fe0a8b4a874f7,0x36e1e1b4ed28b4a7d2d17e377a4d871a41ba4decb806f67a21bc9b702a83a0f6,790000,15800,False,False,False,9015947,4,10,SEEDED,79024,0,2,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,0,False,0,False,0,0,False,0,0,False,0,0,0,0,0
0x40858070814a57fdf33a613ae84fe0a8b4a874f7,0x66093dee4bb1a305fc9fe59ae1b60b930ccec0143f62e0a74eb79cff7e764f46,790000,15800,False,False,False,9019438,5,10,SEEDED,79133,1,2,0,False,FLOW_AND_HARVESTED,1,True,FLOW_AND_HARVESTED,1,True,FLOW_AND_HARVESTED,1,True,0,False,1,True,1,1,True,1,1,True,1,0,0,0,0
0x40858070814a57fdf33a613ae84fe0a8b4a874f7,0xb2fdc346e29b6bc5b1ede78cace20ff03a14b6fe17a14b802120e4b75a5264ff,990000,19800,False,False,False,9023872,6,10,SEEDED,79259,0,1,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,0,False,0,False,0,0,False,0,0,False,0,0,0,0,0
0x40858070814a57fdf33a613ae84fe0a8b4a874f7,0x402c6c96e3d180abe811f5ce0ed906c4e347bec1bb1c02b0d42048ed98a7b0f4,880000,17600,False,False,False,9963810,7,10,SEEDED,104538,0,1,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,0,False,0,False,0,0,False,0,0,False,0,0,0,0,0
0x40858070814a57fdf33a613ae84fe0a8b4a874f7,0x9d9312d5a28ed850756bbd34acf82ffbd210566fe4c026b3aaddb914b16a83ba,950000,19000,False,False,False,18315929,8,10,SEEDED,335572,0,1,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,0,False,0,False,0,0,False,0,0,False,0,0,0,0,0
0x40858070814a57fdf33a613ae84fe0a8b4a874f7,0xfc5d16c74ed09cddf3228bc3390586d8ff15e51ba5ba8efed1bc77f3332180bf,930000,9300,False,True,False,24774863,9,10,SEEDED,429526,1,1,1,True,ROUTER_LIKE_ONE_OFF,1,True,ROUTER_LIKE_ONE_OFF,1,True,ROUTER_LIKE_ONE_OFF,1,True,1,True,0,False,1,0,False,1,0,False,1,0,0,0,0
0x40858070814a57fdf33a613ae84fe0a8b4a874f7,0x94aa2bbf1d8445674ce6061272c880bcd45e9a7c3125f77bef80c55d1e3116e6,910000,9100,False,True,False,26464694,10,10,SEEDED,448136,0,1,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,0,False,0,False,0,0,False,0,0,False,0,0,0,0,0
0x5f10a1c971b69e47e059e1dc91901b59b3fb49c3,0xd7ada31b9746cb0b765c14ab756e4fea8f3ff800ed6b2ed2d549180398e75fb7,900000,18000,False,False,False,997374,1,9,SEEDED,165,104,9,37,True,FLOW_AND_HARVESTED,104,True,FLOW_AND_HARVESTED,103,True,FLOW_AND_HARVESTED,100,True,37,True,67,True,104,66,True,103,63,True,100,1,7,1,0
0x5f10a1c971b69e47e059e1dc91901b59b3fb49c3,0xb4986ba093f909ee9ae5098c17bfffc8cc53f3d8eda9ff7bc7e46a77dc4480d6,950000,19000,False,False,False,1152508,2,9,SEEDED,280,0,2,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,ZERO_SWAP,0,False,0,False,0,False,0,0,False,0,0,False,0,0,0,0,0
