token,n_competing_pools,n_with_any_swap,n_with_known_infra_flow,n_with_router_like_flow_t5,min_fee,max_fee,fee_spread,lowest_fee_pool_success,lowest_fee_pool_volume_share,winner_fee,winner_fee_rank,winner_deployment_rank,winner_fee_minus_min_fee,n_distinct_senders,n_known_infra_senders,n_router_like_senders_t5,fire_cohort_pools
0x40858070814a57fdf33a613ae84fe0a8b4a874f7,10,3,1,3,790000,990000,200000,True,0.2,900000,4,2,110000,3,1,3,0
0x5f10a1c971b69e47e059e1dc91901b59b3fb49c3,9,7,6,7,800000,997804,197804,True,0.006756756756756757,900000,4,1,100000,19,3,17,0
0xbf72347bacefe747eaf48b8a66e38babad3020a0,16,11,6,11,100000,998000,898000,True,0.7177177177177178,100000,1,10,0,50,5,45,0
0xf4c450c1570c2dbda91de1ed2e39995a15028c97,7,4,3,4,350000,998000,648000,True,0.7777777777777778,350000,1,1,0,16,3,13,0
0x822cc93ffd030293e9842c30bbd678f530701867,13,9,8,9,100000,998066,898066,True,0.7198177676537585,100000,1,9,0,30,3,27,0
0x156e175dd063a8ce274c50654ef40e0032b3fbcf,13,7,6,7,400000,996140,596140,True,0.033816425120772944,900000,6,2,500000,17,3,17,0
0xeb30663bdff0622ef4e4e5cbb4e975f19f33f51d,5,3,2,3,800000,996859,196859,True,0.5,800000,1,4,0,2,1,2,0
0x558378e000d634a36593e338ebacdd6207640efe,10,4,3,4,500000,999610,499610,False,0.0,950000,7,1,450000,3,1,3,0
0x7dc013eb55e436f30d7ed1afe4e36d6e45e3c3f7,10,2,1,2,800000,995818,195818,True,0.6,800000,1,7,0,2,1,2,0
0xddf2266b79abf0b48898959b0ed6e6adf512be74,7,5,4,5,880000,999157,119157,True,0.3333333333333333,880000,1,5,0,4,2,4,0
0x8005d266423c7ea827372c9c864491e5786600ea,14,7,7,7,400000,996649,596649,True,0.0380952380952381,900000,5,2,500000,13,3,12,0
0xf9b46d3d1b22199d4d1025a9cedb540a33f1a2d5,13,5,4,5,500000,998786,498786,False,0.0,900000,4,2,400000,14,4,13,0
0x01637b14b7378b99de75a64d50656d98488d9a4d,22,10,6,10,100000,999999,899999,True,0.966804979253112,100000,1,1,0,97,6,74,0
0x84ad72f6fd6bccab5b5aa4f3c9ab86863bd2bcda,11,10,9,10,320000,990001,670001,True,0.4647887323943662,320000,1,5,0,19,4,18,0
0x6e47d95928cb39b5e51be425aab2a5190418e943,24,10,7,10,100000,998000,898000,True,0.9169960474308301,100000,1,2,0,55,4,38,0
0x91b853180e9ffa6976a2d50d181a7c3d5c8979aa,5,1,0,1,800000,990102,190102,True,1.0,800000,1,1,0,1,0,1,0
0x9538676ef48f2da173c20b9259bdc86695fd5eb3,11,4,2,4,600000,990002,390002,True,0.09090909090909091,845670,3,5,245670,5,2,5,0
0xf2915d1e3c1b0c769d0c756ec43f1c1f6c99cd03,17,7,4,7,360000,999000,639000,True,0.11538461538461539,800000,3,9,440000,12,3,12,0
0xd51c58f132fbf4879bbe1e7f3019e2ddcb595af2,3,0,0,0,870000,990101,120101,False,,,,,,0,0,0,0
0xce474ef13beb5dcb478a916eb284a0d5cf36cf79,2,1,0,1,920000,990102,70102,False,0.0,990102,2,1,70102,2,0,1,0
0x79fe86b963255ce884bdcac6388c50a599ba277f,28,17,10,17,300000,999780,699780,True,0.44776119402985076,300000,1,23,0,32,4,31,0
0x31be8f7485e36928c9de86566c62da82d4b6bf81,11,6,6,6,100000,998000,898000,True,0.8078740157480315,100000,1,4,0,27,5,24,1
0x1dae71a215ee5c696cb644f030597ae4f32831c0,15,10,7,10,250000,990005,740005,True,0.25153374233128833,300000,3,6,50000,30,4,28,0
0x64abfc878dc340bbf33bae4aaf39ed33fb1828c0,6,3,2,3,200000,920000,720000,True,0.20689655172413793,850000,4,2,650000,13,1,13,0
0xcf8b02128d2803b3df114e277094cc1096294b5c,9,2,2,2,500000,999780,499780,True,0.75,500000,1,4,0,4,2,4,0
0x4bb7a55d4f172e81614445b7eb6c27376bcad7ad,2,0,0,0,920000,990003,70003,False,,,,,,0,0,0,0
0x274c69125bc03784f61378dce7fb6c6d87331389,15,12,9,12,120000,991200,871200,True,0.09971509971509972,150000,3,12,30000,29,3,26,0
0xfeb411a5dd370c64092513bfb12c0b5501603e5a,1,0,0,0,990003,990003,0,False,,,,,,0,0,0,0
0x493398f141781670506ba543f3c7db9755a67afc,10,5,3,5,100000,998000,898000,True,0.9155844155844156,100000,1,5,0,22,4,21,0
0x8f3eb99ffb09b3e65eaf883be0a5b401cd220e13,1,0,0,0,999999,999999,0,False,,,,,,0,0,0,0
0x5d2d82f09ea775434733662232c69417e08ac1d2,1,0,0,0,920000,920000,0,False,,,,,,0,0,0,0
0x45f24480338100c4803ca456e3a9984a7b97f71a,4,1,1,1,870000,990001,120001,True,1.0,870000,1,4,0,1,1,1,0
0x1ff7831c17a7633480e2f846f51992aafa93bb7c,5,0,0,0,850000,990001,140001,False,,,,,,0,0,0,0
0x0126b87569ec3918e0cfe008554a5e07d5a1751d,1,0,0,0,990001,990001,0,False,,,,,,0,0,0,0
0x37d37e46a4fa0fef385d56ee235e7c4bc134ddf6,2,0,0,0,896540,920000,23460,False,,,,,,0,0,0,0
0x0cab8e661c4b36570697f0cf64ff652bbf0ce6ba,1,0,0,0,876540,876540,0,False,,,,,,0,0,0,0
0x81b9287acdd6b89759b7c87103753568fe936808,2,0,0,0,876000,920000,44000,False,,,,,,0,0,0,0
0xdae109b18129751a4283e5a72e183abfc728c024,5,3,3,3,350000,920000,570000,True,0.3783783783783784,350000,1,3,0,8,2,7,0
0xfc5abd01e4def799549eee154449ff6a7ae0cac7,8,2,0,2,700000,999881,299881,True,0.5,876540,3,2,176540,2,0,2,0
0xec7ed68fe2e6d340d35dac971f36b70db45f7dca,2,0,0,0,876540,920000,43460,False,,,,,,0,0,0,0
0x89084e93de71a9817bc2d28a5a5922bb199ad793,2,0,0,0,870000,920000,50000,False,,,,,,0,0,0,0
0x1864185ae83c6ab7aae30eb5272acb6a2cb47fb8,2,0,0,0,876540,920000,43460,False,,,,,,0,0,0,0
0x6198a58226c40afebfbea55b885198bd7aae4e5c,5,1,0,0,850000,999999,149999,False,,,,,,1,0,0,0
0x35fbeaac8e639db1cc606c164f3a8f6af25102f6,3,1,1,1,990001,999999,9998,True,1.0,990001,1,3,0,1,1,1,0
0x42e2937ad5758b3a73a1a3e1628f59d8ffc79ebc,12,7,4,7,850000,990001,140001,True,0.03225806451612903,870000,2,3,20000,11,5,11,0
0x68defcef7dcdbf5f89f3722c539b168d03a0105c,1,0,0,0,920000,920000,0,False,,,,,,0,0,0,0
0x473c2d32e28c66d7ef55a9c9f392325007366ddf,28,16,7,16,108880,998000,889120,True,0.425531914893617,108880,1,10,0,26,4,22,0
0x81bd17361c8c0d2fc01698807d63c740561df827,6,0,0,0,870000,998000,128000,False,,,,,,0,0,0,0
0x4aaca49ef3311ed1172682d2614de5790d03bd14,2,0,0,0,876540,920000,43460,False,,,,,,0,0,0,0
0xe1a068d1288cbc9feb80c2d44194428d3a3fa24b,1,0,0,0,876540,876540,0,False,,,,,,0,0,0,0
0xeafa804083a4886a9460b5b19557334a652beba8,17,11,7,11,100000,998000,898000,True,0.5284280936454849,100000,1,7,0,34,5,31,0
0x84f210f9fa42613e5f5bc89ee4978afbd1e90f11,12,6,6,6,330000,970790,640790,True,0.6875,330000,1,3,0,9,4,9,0
0xebd3e69bc51e7878afdd1da4747f1f7642728b69,2,0,0,0,876540,880000,3460,False,,,,,,0,0,0,0
0xf132bd1d1770d42cf4ec8659b9077d0d1c197cc1,7,4,3,4,100000,998000,898000,False,0.0,880000,4,1,780000,16,5,16,0
0xea886049f8f5414e8984209afc1bac082a1e3c83,1,0,0,0,876540,876540,0,False,,,,,,0,0,0,0
0xad0e9c9a78577c4bdb09d51f8401192d8e109393,2,0,0,0,870000,920000,50000,False,,,,,,0,0,0,0
0x48e8e9a17275b9cb72240170a950108bf893651c,2,0,0,0,880000,920000,40000,False,,,,,,0,0,0,0
0x7849fd51afc560614b126a38f271cba97c2e1e1b,1,0,0,0,880000,880000,0,False,,,,,,0,0,0,0
0x757f1f0c58ef4a7e4b019e5779b2c26750e9ffcb,3,1,0,1,876540,920000,43460,True,1.0,876540,1,2,0,1,0,1,0
0xedca60c38b1081416936d2d57861fb1d642b37e6,2,0,0,0,880000,893690,13690,False,,,,,,0,0,0,0
0x2b2963ed82d0fe8473edc2f891bee0ac0a83fbbb,6,1,0,1,350000,990001,640001,False,0.0,893690,4,3,543690,2,0,2,0
0x18dbac2d4f01dc96dc1269767d82722a305e8f73,5,1,0,1,870000,990001,120001,False,0.0,876540,2,2,6540,1,0,1,0
0x1ed67b120c3761e89bd5a4ede7f0c27a93538d5d,2,1,0,1,883690,900000,16310,False,0.0,900000,2,1,16310,1,0,1,0
0xce6520e5df90f584cef0d255ec45b881ba765e47,10,5,1,5,870000,998834,128834,False,0.0,870640,3,8,640,4,1,4,1
0xe20839371d6d7dc577b6826a8b08a9b83669a6b2,1,0,0,0,876540,876540,0,False,,,,,,0,0,0,0
0x62cd5a41dfda1df6f7460716113d08351d2f9d1b,3,0,0,0,876540,990001,113461,False,,,,,,0,0,0,0
0xf08a4da92a4302f9bbcab7b78b2a4a70a8acdeab,6,5,2,5,100000,990001,890001,True,0.6129032258064516,100000,1,6,0,11,2,10,0
