operator_a,operator_b,shared_count,shared
0x1983824aa3cf023dfd233115e801520b9d49a258,0x1aa511c41636dc4e1dafe5092157eb606da01d03,2,0x5014f5ef497ee068c9100b0bbfed6b004b7ecccc|0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x1983824aa3cf023dfd233115e801520b9d49a258,0xa1e4bca023d741bd8d8609875ceef2abd8d755a3,2,0x8e895597b2c017be6e3f21ac443c256733c3cd48|0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x1aa511c41636dc4e1dafe5092157eb606da01d03,0x271070932c8111fb474a3ef55b9a758fd6b115cc,2,0xabb2acd3be814a80e502575d6c1dc5f789e9cd10|0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x1aa511c41636dc4e1dafe5092157eb606da01d03,0xe49193acd219557a150e35ccc2a66f89c42482e6,2,0xabb2acd3be814a80e502575d6c1dc5f789e9cd10|0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x271070932c8111fb474a3ef55b9a758fd6b115cc,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,2,0xaa4f8f828ee73039ddeefbd338fda64c52782000|0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x271070932c8111fb474a3ef55b9a758fd6b115cc,0x9dfdbeb37f2fd8744db65f6752c66beba351bdee,2,0x56c262027e0de4aea31d2489529cb25d23e58a8b|0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x271070932c8111fb474a3ef55b9a758fd6b115cc,0xe49193acd219557a150e35ccc2a66f89c42482e6,2,0xabb2acd3be814a80e502575d6c1dc5f789e9cd10|0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x490f1d47c41ba36f103a8db40b3c4db532b41899,0x9dfdbeb37f2fd8744db65f6752c66beba351bdee,2,0x63575bcc942acc51495e492a0498eb4ac0a4c0de|0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x9dfdbeb37f2fd8744db65f6752c66beba351bdee,0xa1e4bca023d741bd8d8609875ceef2abd8d755a3,2,0x6989a8217359ac1c7aa9b651cb67f226c2fd3ca8|0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x1983824aa3cf023dfd233115e801520b9d49a258,0x2179ecfa0619c125ca0fd28599cede9c239fbf2b,1,0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x1983824aa3cf023dfd233115e801520b9d49a258,0x271070932c8111fb474a3ef55b9a758fd6b115cc,1,0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x1983824aa3cf023dfd233115e801520b9d49a258,0x490f1d47c41ba36f103a8db40b3c4db532b41899,1,0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x1983824aa3cf023dfd233115e801520b9d49a258,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,1,0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x1983824aa3cf023dfd233115e801520b9d49a258,0x9dfdbeb37f2fd8744db65f6752c66beba351bdee,1,0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x1983824aa3cf023dfd233115e801520b9d49a258,0xe49193acd219557a150e35ccc2a66f89c42482e6,1,0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x1aa511c41636dc4e1dafe5092157eb606da01d03,0x2179ecfa0619c125ca0fd28599cede9c239fbf2b,1,0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x1aa511c41636dc4e1dafe5092157eb606da01d03,0x490f1d47c41ba36f103a8db40b3c4db532b41899,1,0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x1aa511c41636dc4e1dafe5092157eb606da01d03,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,1,0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x1aa511c41636dc4e1dafe5092157eb606da01d03,0x9dfdbeb37f2fd8744db65f6752c66beba351bdee,1,0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x1aa511c41636dc4e1dafe5092157eb606da01d03,0xa1e4bca023d741bd8d8609875ceef2abd8d755a3,1,0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x2179ecfa0619c125ca0fd28599cede9c239fbf2b,0x271070932c8111fb474a3ef55b9a758fd6b115cc,1,0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x2179ecfa0619c125ca0fd28599cede9c239fbf2b,0x490f1d47c41ba36f103a8db40b3c4db532b41899,1,0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x2179ecfa0619c125ca0fd28599cede9c239fbf2b,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,1,0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x2179ecfa0619c125ca0fd28599cede9c239fbf2b,0x9dfdbeb37f2fd8744db65f6752c66beba351bdee,1,0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x2179ecfa0619c125ca0fd28599cede9c239fbf2b,0xa1e4bca023d741bd8d8609875ceef2abd8d755a3,1,0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x2179ecfa0619c125ca0fd28599cede9c239fbf2b,0xe49193acd219557a150e35ccc2a66f89c42482e6,1,0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x271070932c8111fb474a3ef55b9a758fd6b115cc,0x490f1d47c41ba36f103a8db40b3c4db532b41899,1,0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x271070932c8111fb474a3ef55b9a758fd6b115cc,0xa1e4bca023d741bd8d8609875ceef2abd8d755a3,1,0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x490f1d47c41ba36f103a8db40b3c4db532b41899,0x7777de7a669c6e76e059fae0e15a0ea041fd752c,1,0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x490f1d47c41ba36f103a8db40b3c4db532b41899,0xa1e4bca023d741bd8d8609875ceef2abd8d755a3,1,0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x490f1d47c41ba36f103a8db40b3c4db532b41899,0xe49193acd219557a150e35ccc2a66f89c42482e6,1,0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x7777de7a669c6e76e059fae0e15a0ea041fd752c,0x9dfdbeb37f2fd8744db65f6752c66beba351bdee,1,0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x7777de7a669c6e76e059fae0e15a0ea041fd752c,0xa1e4bca023d741bd8d8609875ceef2abd8d755a3,1,0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x7777de7a669c6e76e059fae0e15a0ea041fd752c,0xe49193acd219557a150e35ccc2a66f89c42482e6,1,0xe58b3089df6667fbf99b75595a1671baf6797d6d
0x9dfdbeb37f2fd8744db65f6752c66beba351bdee,0xe49193acd219557a150e35ccc2a66f89c42482e6,1,0xe58b3089df6667fbf99b75595a1671baf6797d6d
0xa1e4bca023d741bd8d8609875ceef2abd8d755a3,0xe49193acd219557a150e35ccc2a66f89c42482e6,1,0xe58b3089df6667fbf99b75595a1671baf6797d6d
0xc6312da2663570a2aee12b27a0c6da4683339acd,0xe49193acd219557a150e35ccc2a66f89c42482e6,1,0xa67d7eb4dc68fa6ce8e34ef8cadaf075b9893fbb
