tx,token,block,router_sender,router_family,selected_pool,selected_fee,selected_hooked,selected_output,alt_pool,alt_fee,alt_hooked,alt_tick_spacing,alt_init_block,alt_age_blocks,alt_output,regret_bps,beaten,shortfall_bps,alt_ever_used_by_same_sender,alt_ever_used_by_same_family,alt_used_before_this_order_same_sender,alt_used_before_this_order_same_family
0x30a218bd6fa9a6cd9e10039e006b68205a429ef9bcf1defa64bc3418a48665de,0xa3fdcadd1a10ef1a1731e08b87493420d7a61007,9606106,0x8876789976decbfcbbbe364623c63652db8c0904,Uniswap UniversalRouter,0x8b5ca8c300d039b4437cfdca7bac6a31544667344d7f1fe797c38c6265071539,250000,False,4386107243371458254,0xfd072dcaedaba7c7a767cbb62e9d2451baca9a62364a8b9a6c59a43b316b3254,100000,False,2000,9596155,9951,7315084943752413102.33032545583977947599457006649424371891189,-4004.02418140407754212012446163153931748653090262110216468752,True,4004.024181404077542120124462,True,True,True,True
0xe82805a69aefc55dd9620345a076b96faa49d04626dfa5db0124ecbcb1b8d73c,0xa3fdcadd1a10ef1a1731e08b87493420d7a61007,9620304,0xa633c73658857d5241fe21d43f854a82e2d0592c,unlabelled router A,0x8b5ca8c300d039b4437cfdca7bac6a31544667344d7f1fe797c38c6265071539,250000,False,2411079994307886135377,0x7d26f46b1fbf7fef3671a77e76e3176e61298f91c7109040b57372e4c80bae36,0,True,60,9532451,87853,7068949086080685392777.21333464745928118421358106405515657918,-6589.19598239080324705522929369298773496756176898399727043781,True,6589.195982390803247055229294,True,True,False,False
0x0524e892c700e7fb110527a3c47a79016abdd2466a434de9d5838315baa7c147,0xa3fdcadd1a10ef1a1731e08b87493420d7a61007,9620304,0xa633c73658857d5241fe21d43f854a82e2d0592c,unlabelled router A,0xfd072dcaedaba7c7a767cbb62e9d2451baca9a62364a8b9a6c59a43b316b3254,100000,False,584644999584434793782,0x7d26f46b1fbf7fef3671a77e76e3176e61298f91c7109040b57372e4c80bae36,0,True,60,9532451,87853,792218300205925048437.342774601770298240844595869578196274620,-2620.15281100594047377318805362720176440984186745118335718134,True,2620.152811005940473773188054,True,True,False,False
0x2bc74c87ff824cf4cab990d787cecc3027327a2ecf8261569e9efcfcd5ecd805,0xa3fdcadd1a10ef1a1731e08b87493420d7a61007,9620330,0xa633c73658857d5241fe21d43f854a82e2d0592c,unlabelled router A,0x6629b21c0d7274ec8a1408e6a4ff7d3d5664f1053a555b4c772fff2d8558988d,300000,False,1271815925971305047452,0x7d26f46b1fbf7fef3671a77e76e3176e61298f91c7109040b57372e4c80bae36,0,True,60,9532451,87879,2058132858502662818764.40553137629664026861365453910857896344,-3820.53534242401014556474714936272276513965608278414768693087,True,3820.535342424010145564747149,True,True,False,False
0xf70256b7f2534e5babb0cd7d0dcb14b284bd03ffe47adbe8bde6724ea059c7be,0xa3fdcadd1a10ef1a1731e08b87493420d7a61007,9620330,0xa633c73658857d5241fe21d43f854a82e2d0592c,unlabelled router A,0x8b5ca8c300d039b4437cfdca7bac6a31544667344d7f1fe797c38c6265071539,250000,False,372162130778379437681,0x7d26f46b1fbf7fef3671a77e76e3176e61298f91c7109040b57372e4c80bae36,0,True,60,9532451,87879,461999237081961609786.367340320854175156525586907134673906571,-1944.52932154181234629033327120791506945358226330588909744666,True,1944.529321541812346290333271,True,True,False,False
0x5e774db6e6da96c1ce1499ccb28d65f252e191fba6c41496f7bf23f786493f83,0xa3fdcadd1a10ef1a1731e08b87493420d7a61007,9620338,0xa633c73658857d5241fe21d43f854a82e2d0592c,unlabelled router A,0x8b5ca8c300d039b4437cfdca7bac6a31544667344d7f1fe797c38c6265071539,250000,False,1356314229145927614455,0x7d26f46b1fbf7fef3671a77e76e3176e61298f91c7109040b57372e4c80bae36,0,True,60,9532451,87887,2167517092799368535426.60268413213747801699473903461564239978,-3742.54425189221857001702189196234037624518144803841746293849,True,3742.544251892218570017021892,True,True,False,False
0x6f9c8bbbb5df85b02d7906045627409abd84a8b5e5fcd77aca572a50fbc4cea1,0xa3fdcadd1a10ef1a1731e08b87493420d7a61007,9620350,0xa633c73658857d5241fe21d43f854a82e2d0592c,unlabelled router A,0x6629b21c0d7274ec8a1408e6a4ff7d3d5664f1053a555b4c772fff2d8558988d,300000,False,1423984455001763310278,0x7d26f46b1fbf7fef3671a77e76e3176e61298f91c7109040b57372e4c80bae36,0,True,60,9532451,87899,2534106275270652941270.68039852677076875476681655959478958734,-4380.72322026164458531646356530930449984788811428257415738187,True,4380.723220261644585316463565,True,True,False,False
0x906d7542226b33bcfcba18ec415227990d3234306897bf05055ce6cabd02d62c,0xa3fdcadd1a10ef1a1731e08b87493420d7a61007,9620393,0xa633c73658857d5241fe21d43f854a82e2d0592c,unlabelled router A,0x8b5ca8c300d039b4437cfdca7bac6a31544667344d7f1fe797c38c6265071539,250000,False,1715072557675050479965,0x7d26f46b1fbf7fef3671a77e76e3176e61298f91c7109040b57372e4c80bae36,0,True,60,9532451,87942,5217615050732103591063.52102140611055618378291658644420480741,-6712.91856336852204614561258672274530241266045661399842074475,True,6712.918563368522046145612587,True,True,False,False
0x906d7542226b33bcfcba18ec415227990d3234306897bf05055ce6cabd02d62c,0xa3fdcadd1a10ef1a1731e08b87493420d7a61007,9620393,0xa633c73658857d5241fe21d43f854a82e2d0592c,unlabelled router A,0x6629b21c0d7274ec8a1408e6a4ff7d3d5664f1053a555b4c772fff2d8558988d,300000,False,6327637468239375,0xfd072dcaedaba7c7a767cbb62e9d2451baca9a62364a8b9a6c59a43b316b3254,100000,False,2000,9596155,24238,45169037285008945.2748499284331039567237198033138471797794309,-8599.12058158046219805389351595645073290808047487267899690065,True,8599.120581580462198053893516,True,True,True,True
0x668ddbce4eda27ae753065817df408f9bf93425eb7e774e1223bb1bf91146aec,0xa3fdcadd1a10ef1a1731e08b87493420d7a61007,9620395,0xa633c73658857d5241fe21d43f854a82e2d0592c,unlabelled router A,0xfd072dcaedaba7c7a767cbb62e9d2451baca9a62364a8b9a6c59a43b316b3254,100000,False,381761562849129129715,0x7d26f46b1fbf7fef3671a77e76e3176e61298f91c7109040b57372e4c80bae36,0,True,60,9532451,87944,481230088558093546265.136067218529661561645481350750170948532,-2066.96397573562547128345972162045965236982902505858618331794,True,2066.963975735625471283459722,True,True,False,False
