fire_in,variant,ok,error,origin_usdg_expected,dest_out,dest_symbol,swap_impact_pct,total_impact_pct,rate,order_id,solver,relayer_fee_usdg,deposit_to,calldata_len
100,default,True,,0.073857,0.029206,USDC,-34.85,-62.22,0.00029206,0x2040f9db5d652f77325aadb9c05665fcc1d37e0556a6ca2556a82f3f617ee862,0xf70da97812cb96acdf810712aa562db8dfa3dbef,0.021166,0xccc88a9d1b4ed6b0eaba998850414b24f1c315be,7370
100,only:weth,False,no routes found,,,,,,,,,,,
100,not:weth,True,,0.073857,0.029207,USDC,-34.85,-62.22,0.00029207,0x0be1f3fee7574fd5ba0a8f0c31677e2d370ac5fd7435718a3ef408ca881f9da7,0xf70da97812cb96acdf810712aa562db8dfa3dbef,0.021165,0xccc88a9d1b4ed6b0eaba998850414b24f1c315be,7370
100,only:0x,True,,0.073857,0.029207,USDC,-34.85,-62.22,0.00029207,0x51a48b29a98d95b4feba783e4c54bfe192ce752efbe1ada0f8f50923ab817c36,0xf70da97812cb96acdf810712aa562db8dfa3dbef,0.021165,0xccc88a9d1b4ed6b0eaba998850414b24f1c315be,7370
100,not:0x,True,,0.073857,0.029207,USDC,-34.85,-62.22,0.00029207,0x046d9911258d843ddca287d49aa728a19ac2e5332a54acdabba2c7df6e64fb99,0xf70da97812cb96acdf810712aa562db8dfa3dbef,0.021165,0xccc88a9d1b4ed6b0eaba998850414b24f1c315be,7370
100,only:magpie,False,Swap output amount is too small to cover fees required to execute swap,,,,,,,,,,,
100,not:magpie,True,,0.07381,0.029163,USDC,-34.90,-62.28,0.00029163,0xfa384ab938b4894352f3e166e6f071ce9051cc2ab97aea4da999b7f1a82a98f1,0xf70da97812cb96acdf810712aa562db8dfa3dbef,0.021165,0xccc88a9d1b4ed6b0eaba998850414b24f1c315be,7370
100,only:kyberswap,True,,0.071488,0.02684,USDC,-37.91,-65.28,0.0002684,0x20c3b182e12b7b84af5927a7eaf0fa14cfec4ddf2426d8f3cae478847962ee4f,0xf70da97812cb96acdf810712aa562db8dfa3dbef,0.021165,0xccc88a9d1b4ed6b0eaba998850414b24f1c315be,11594
100,not:kyberswap,True,,0.07381,0.029163,USDC,-34.90,-62.28,0.00029163,0x0b8182b2257c5ec2b181e94cdb4c4d1d79858b9ddd3ad4cebae05bedc65f6eaf,0xf70da97812cb96acdf810712aa562db8dfa3dbef,0.021165,0xccc88a9d1b4ed6b0eaba998850414b24f1c315be,7370
100,only:pancakeswap,False,no routes found,,,,,,,,,,,
100,not:pancakeswap,True,,0.073811,0.029163,USDC,-34.90,-62.28,0.00029163,0x249371186f3f79c88cc43b062151de3cd613a8af850f7200a79275bbf5bff671,0xf70da97812cb96acdf810712aa562db8dfa3dbef,0.021165,0xccc88a9d1b4ed6b0eaba998850414b24f1c315be,7370
250,default,True,,0.184527,0.139613,USDC,-16.71,-27.76,0.000558452,0x8979d5caa20b53cffb5456ad0920e44cd10215494b86ca1ba1d89cbae9639e3a,0xf70da97812cb96acdf810712aa562db8dfa3dbef,0.02136,0xccc88a9d1b4ed6b0eaba998850414b24f1c315be,7370
250,only:weth,False,no routes found,,,,,,,,,,,
250,not:weth,True,,0.184527,0.139607,USDC,-16.72,-27.77,0.000558428,0x79370f7829275312fce8090941c0b7bc91cf9471ba1ce2e4c798a3479241bfe1,0xf70da97812cb96acdf810712aa562db8dfa3dbef,0.02136,0xccc88a9d1b4ed6b0eaba998850414b24f1c315be,7370
