fire_in,canonical_eth_out,canonical_usdg_out,relay_origin_usdg,relay_minus_canonical_usdg,relay_vs_canonical_pct,bridge_fee,canonical_fee
100,0.000038372661798644,0.073668,0.073857,0.000189,0.25655644241733181299885974914481185860889395667047,100,3000
250,0.000095931186027979,0.184171,0.184527,0.000356,0.19329861921800935000624419696912108855357249512681,100,3000
500,0.000191860810514185,0.368339,0.369057,0.000718,0.19492912778717431496529012675823086884636163968518,100,3000
1000,0.000383715375013788,0.736667,0.738091,0.001424,0.19330307995335748716855784228151932962926261119339,100,3000
2500,0.000959241595475028,1.841582,1.845217,0.003635,0.19738463994543821562113443767369576809504002536949,100,3000
5000,0.001918327071081799,3.682865,3.689984,0.007119,0.19330059613914710422456429980463579305785034205707,100,3000
10000,0.003836029815120037,7.364531,7.378886,0.014355,0.19492076277498186917809158519395192986491604149674,100,3000
20000,0.007669563540807252,14.724271,14.757004,0.032733,0.22230642182556949678527378367322905154353651871797,100,3000
40000,0.015329152462719334,29.429394,29.494781,0.065387,0.22218262462353115392046468914718393453837343711529,100,3000
60000,0.022978786211764564,44.115411,44.214133,0.098722,0.22378120879345315404632635067142409712560538084979,100,3000
80000,0.030618484183456056,58.782348,58.914473,0.132125,0.22476985778111483399744426677205885004797698792161,100,3000
100000,0.03824826572295564,73.430247,73.595215,0.164968,0.22465946492049795229478119554738798577104064487213,100,3000
