pool,block,timestamp_utc,transaction_hash,transaction_index,log_index,tx_from,modify_sender,pool_id,action,tick_lower,tick_upper,liquidity_delta,abs_liquidity_delta,salt,possible_token_id,tx_from_is_original_creator
FIRE_USDG_50pct,13489232,2026-07-19T02:39:43+00:00,0x88662c6e3b98c33709dece6fca5186867fdb07b77eebfc79365e536673f80c35,1,2,0xe49193acd219557a150e35ccc2a66f89c42482e6,0x58daec3116aae6d93017baaea7749052e8a04fa7,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,ADD,-880000,880000,434140365896634,434140365896634,0x000000000000000000000000000000000000000000000000000000000002e0d1,188625,True
FIRE_USDG_50pct,13588763,2026-07-19T05:26:20+00:00,0x232bb5e60c6a754e598eb028a97d3d3902f1c5491cc6db5063108cbd7329fd41,4,1,0xe49193acd219557a150e35ccc2a66f89c42482e6,0x58daec3116aae6d93017baaea7749052e8a04fa7,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,ZERO,-880000,880000,0,0,0x000000000000000000000000000000000000000000000000000000000002e0d1,188625,True
FIRE_USDG_50pct,13593509,2026-07-19T05:34:17+00:00,0x703f2a23ef90be04b5b98c1c3f431603e1a645dac0c3cafcc8e8b8676cdd865d,2,1,0xe49193acd219557a150e35ccc2a66f89c42482e6,0x58daec3116aae6d93017baaea7749052e8a04fa7,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,ZERO,-880000,880000,0,0,0x000000000000000000000000000000000000000000000000000000000002e0d1,188625,True
FIRE_USDG_50pct,13594646,2026-07-19T05:36:12+00:00,0xb066c39b30999de2424354904309f0e8b445ffcd9918268a24642503c54d9d78,4,10,0xe49193acd219557a150e35ccc2a66f89c42482e6,0x58daec3116aae6d93017baaea7749052e8a04fa7,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,ADD,-880000,880000,359439441283319,359439441283319,0x000000000000000000000000000000000000000000000000000000000002e0d1,188625,True
FIRE_USDG_50pct,13990356,2026-07-19T16:38:55+00:00,0x9844813cb2be164d16c958b1142e8ac90ad95b1dcfdf353a4fffe5bcb218ac0d,8,3,0x271070932c8111fb474a3ef55b9a758fd6b115cc,0x58daec3116aae6d93017baaea7749052e8a04fa7,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,ADD,-880000,880000,142229682405217,142229682405217,0x00000000000000000000000000000000000000000000000000000000000312d2,201426,False
FIRE_USDG_50pct,14060802,2026-07-19T18:36:42+00:00,0xc12625aa205d211277fb1baef4cdffb5d3a0fa3d07a61c884346584f0f44683e,7,0,0xe49193acd219557a150e35ccc2a66f89c42482e6,0x58daec3116aae6d93017baaea7749052e8a04fa7,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,ZERO,-880000,880000,0,0,0x000000000000000000000000000000000000000000000000000000000002e0d1,188625,True
FIRE_USDG_50pct,14067911,2026-07-19T18:48:36+00:00,0x171aa612a9e3015c883b8755b01061ef60b936ed02a844597ab073dbed9e2f59,18,43,0xe49193acd219557a150e35ccc2a66f89c42482e6,0x58daec3116aae6d93017baaea7749052e8a04fa7,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,ADD,-880000,880000,1484746852942669,1484746852942669,0x000000000000000000000000000000000000000000000000000000000002e0d1,188625,True
FIRE_USDG_40pct,14117871,2026-07-19T20:12:12+00:00,0x8689ba10c676b7509644c5d60e3c3dbaa25e2a5131456af4667738f6bfb29268,1,2,0xc6312da2663570a2aee12b27a0c6da4683339acd,0x58daec3116aae6d93017baaea7749052e8a04fa7,0x0e6ef141436d1b1948593ce40268b6ffc56870929e83922c15a4a5d64f5b4636,ADD,-880000,880000,38781322019309,38781322019309,0x00000000000000000000000000000000000000000000000000000000000325bd,206269,True
FIRE_USDG_50pct,14152851,2026-07-19T21:10:48+00:00,0x956aedc2bf975cabfded6b0885c875ce6fdf931ad9d0ce85a86f0baa8208d64e,5,12,0x1aa511c41636dc4e1dafe5092157eb606da01d03,0x58daec3116aae6d93017baaea7749052e8a04fa7,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,ADD,-880000,880000,117281783133606,117281783133606,0x00000000000000000000000000000000000000000000000000000000000328f5,207093,False
FIRE_USDG_50pct,14153987,2026-07-19T21:12:41+00:00,0xe440911e4d2ce418bf42d761fdbd2317ee2ed1af0d260d52afd202d6d1ff6cfd,8,0,0x1aa511c41636dc4e1dafe5092157eb606da01d03,0x58daec3116aae6d93017baaea7749052e8a04fa7,0xdfbdc88db73b4290a0f02daf53a95c5eb59ceceb7f080e08476d04ee776eee43,ADD,-880000,880000,376546681598549,376546681598549,0x00000000000000000000000000000000000000000000000000000000000328f5,207093,False
